source_id,recommendation_id,source_name,source_type,trust_level,last_updated,description,data_collected
SRC-00012,REC-0003,Endpoint Detection Systems,EDR Engine,High,2026-06-12 23:18,"Automated endpoint threat analysis, behavior tracking, and detection warnings.","Heuristic trigger scores, suspicious command-line execution patterns"
SRC-00013,REC-0004,Patch Compliance Records,Systems Management,Very High,2026-05-10 23:31,Compliance matrix listing applied vs pending software/security patches.,"KB patch IDs, installation date, OS build version numbers"
SRC-00014,REC-0004,Historical Incident Records,Incident Registry,High,2026-05-10 23:58,Database archives of past organizational threats and remediation histories.,"Similar dev box compromise records, past false positive incident resolutions"
SRC-00015,REC-0004,Device Telemetry,Endpoint Agent,Very High,2026-05-10 23:04,"Real-time process, memory, and registry events from local device agent.","Process creation flags, DLL injection traces, registry modification events"
SRC-00016,REC-0004,Threat Intelligence Feeds,External Threat Intel,High,2026-05-10 23:48,"Reputation tracking database for bad IPs, domains, and known hash blocks.","Bad actor infrastructure IPs, malicious DNS names, hash signatures"
SRC-00017,REC-0004,Network Anomaly Detection,IDS/IPS System,Moderate,2026-05-10 23:55,Deep packet analysis searching for payload abnormalities and network threats.,"Suspected port scans, unexpected SMB payloads, DNS tunnel signatures"
SRC-00018,REC-0005,Historical Incident Records,Incident Registry,High,2026-06-03 23:45,Database archives of past organizational threats and remediation histories.,"Similar dev box compromise records, past false positive incident resolutions"
SRC-00019,REC-0005,Network Activity,NetFlow Collector,Moderate,2026-06-03 23:55,Metadata for ingress/egress connections and internal network hops.,"Connection durations, data transferred (bytes), destination ports"
SRC-00020,REC-0005,Authentication Events,Identity Provider,High,2026-06-03 23:13,"Sign-in requests, MFA status, authentication tokens, and access evaluations.","Failed login status, geo-location velocity alerts, MFA approval logs"
SRC-00021,REC-0005,Malware Detection Engine,Antivirus Scanner,Very High,2026-06-03 23:22,Active file scanner matching signatures against global virus databases.,"File hash signatures, virus definition release dates, quarantine status"
SRC-00022,REC-0005,Threat Intelligence Feeds,External Threat Intel,Very High,2026-06-03 23:15,"Reputation tracking database for bad IPs, domains, and known hash blocks.","Bad actor infrastructure IPs, malicious DNS names, hash signatures"
SRC-00023,REC-0006,Authentication Events,Identity Provider,High,2026-05-19 23:48,"Sign-in requests, MFA status, authentication tokens, and access evaluations.","Failed login status, geo-location velocity alerts, MFA approval logs"
SRC-00024,REC-0006,Endpoint Detection Systems,EDR Engine,Very High,2026-05-19 23:38,"Automated endpoint threat analysis, behavior tracking, and detection warnings.","Heuristic trigger scores, suspicious command-line execution patterns"
SRC-00025,REC-0006,Malware Detection Engine,Antivirus Scanner,Very High,2026-05-19 23:49,Active file scanner matching signatures against global virus databases.,"File hash signatures, virus definition release dates, quarantine status"
SRC-00026,REC-0006,Patch Compliance Records,Systems Management,Very High,2026-05-19 23:05,Compliance matrix listing applied vs pending software/security patches.,"KB patch IDs, installation date, OS build version numbers"
SRC-00027,REC-0006,Network Anomaly Detection,IDS/IPS System,Very High,2026-05-19 23:07,Deep packet analysis searching for payload abnormalities and network threats.,"Suspected port scans, unexpected SMB payloads, DNS tunnel signatures"
SRC-00028,REC-0007,Endpoint Detection Systems,EDR Engine,Moderate,2026-05-17 23:15,"Automated endpoint threat analysis, behavior tracking, and detection warnings.","Heuristic trigger scores, suspicious command-line execution patterns"
SRC-00029,REC-0007,Security Logs,SIEM Stream,High,2026-05-17 23:10,Aggregated operating system and active security services events.,"Event ID 4624 (successful login), privilege service requests, firewall logs"
SRC-00030,REC-0007,Network Activity,NetFlow Collector,High,2026-05-17 23:57,Metadata for ingress/egress connections and internal network hops.,"Connection durations, data transferred (bytes), destination ports"
SRC-00031,REC-0008,Patch Compliance Records,Systems Management,Very High,2026-05-20 23:55,Compliance matrix listing applied vs pending software/security patches.,"KB patch IDs, installation date, OS build version numbers"
SRC-00032,REC-0008,Malware Detection Engine,Antivirus Scanner,Very High,2026-05-20 23:36,Active file scanner matching signatures against global virus databases.,"File hash signatures, virus definition release dates, quarantine status"
SRC-00033,REC-0008,Authentication Events,Identity Provider,High,2026-05-20 23:04,"Sign-in requests, MFA status, authentication tokens, and access evaluations.","Failed login status, geo-location velocity alerts, MFA approval logs"
SRC-00034,REC-0009,Security Logs,SIEM Stream,High,2026-05-24 23:29,Aggregated operating system and active security services events.,"Event ID 4624 (successful login), privilege service requests, firewall logs"
SRC-00035,REC-0009,Endpoint Detection Systems,EDR Engine,High,2026-05-24 23:19,"Automated endpoint threat analysis, behavior tracking, and detection warnings.","Heuristic trigger scores, suspicious command-line execution patterns"
SRC-00036,REC-0009,Authentication Events,Identity Provider,Low,2026-05-24 23:28,"Sign-in requests, MFA status, authentication tokens, and access evaluations.","Failed login status, geo-location velocity alerts, MFA approval logs"
SRC-00037,REC-0010,Malware Detection Engine,Antivirus Scanner,High,2026-05-15 23:41,Active file scanner matching signatures against global virus databases.,"File hash signatures, virus definition release dates, quarantine status"
SRC-00038,REC-0010,Network Activity,NetFlow Collector,Moderate,2026-05-15 23:24,Metadata for ingress/egress connections and internal network hops.,"Connection durations, data transferred (bytes), destination ports"
SRC-00039,REC-0010,Threat Intelligence Feeds,External Threat Intel,Moderate,2026-05-15 23:42,"Reputation tracking database for bad IPs, domains, and known hash blocks.","Bad actor infrastructure IPs, malicious DNS names, hash signatures"
SRC-00040,REC-0010,Authentication Events,Identity Provider,Very High,2026-05-15 23:23,"Sign-in requests, MFA status, authentication tokens, and access evaluations.","Failed login status, geo-location velocity alerts, MFA approval logs"
SRC-00041,REC-0011,Network Activity,NetFlow Collector,Very High,2026-06-19 23:53,Metadata for ingress/egress connections and internal network hops.,"Connection durations, data transferred (bytes), destination ports"
SRC-00042,REC-0011,Device Telemetry,Endpoint Agent,High,2026-06-19 23:07,"Real-time process, memory, and registry events from local device agent.","Process creation flags, DLL injection traces, registry modification events"
SRC-00043,REC-0011,Endpoint Detection Systems,EDR Engine,Moderate,2026-06-19 23:27,"Automated endpoint threat analysis, behavior tracking, and detection warnings.","Heuristic trigger scores, suspicious command-line execution patterns"
SRC-00044,REC-0011,Historical Incident Records,Incident Registry,High,2026-06-19 23:20,Database archives of past organizational threats and remediation histories.,"Similar dev box compromise records, past false positive incident resolutions"
SRC-00045,REC-0012,Network Activity,NetFlow Collector,High,2026-06-04 23:15,Metadata for ingress/egress connections and internal network hops.,"Connection durations, data transferred (bytes), destination ports"
SRC-00046,REC-0012,Device Telemetry,Endpoint Agent,Very High,2026-06-04 23:17,"Real-time process, memory, and registry events from local device agent.","Process creation flags, DLL injection traces, registry modification events"
SRC-00047,REC-0012,Threat Intelligence Feeds,External Threat Intel,Moderate,2026-06-04 23:48,"Reputation tracking database for bad IPs, domains, and known hash blocks.","Bad actor infrastructure IPs, malicious DNS names, hash signatures"
SRC-00048,REC-0012,Network Anomaly Detection,IDS/IPS System,High,2026-06-04 23:17,Deep packet analysis searching for payload abnormalities and network threats.,"Suspected port scans, unexpected SMB payloads, DNS tunnel signatures"
SRC-00049,REC-0012,Security Logs,SIEM Stream,High,2026-06-04 23:07,Aggregated operating system and active security services events.,"Event ID 4624 (successful login), privilege service requests, firewall logs"
SRC-00050,REC-0013,Network Activity,NetFlow Collector,Very High,2026-06-02 23:50,Metadata for ingress/egress connections and internal network hops.,"Connection durations, data transferred (bytes), destination ports"
SRC-00051,REC-0013,Authentication Events,Identity Provider,High,2026-06-02 23:03,"Sign-in requests, MFA status, authentication tokens, and access evaluations.","Failed login status, geo-location velocity alerts, MFA approval logs"
SRC-00052,REC-0013,Historical Incident Records,Incident Registry,High,2026-06-02 23:48,Database archives of past organizational threats and remediation histories.,"Similar dev box compromise records, past false positive incident resolutions"
SRC-00053,REC-0014,Historical Incident Records,Incident Registry,High,2026-06-19 23:05,Database archives of past organizational threats and remediation histories.,"Similar dev box compromise records, past false positive incident resolutions"
SRC-00054,REC-0014,Malware Detection Engine,Antivirus Scanner,Very High,2026-06-19 23:35,Active file scanner matching signatures against global virus databases.,"File hash signatures, virus definition release dates, quarantine status"
SRC-00055,REC-0014,Threat Intelligence Feeds,External Threat Intel,High,2026-06-19 23:45,"Reputation tracking database for bad IPs, domains, and known hash blocks.","Bad actor infrastructure IPs, malicious DNS names, hash signatures"
SRC-00056,REC-0014,Authentication Events,Identity Provider,Very High,2026-06-19 23:58,"Sign-in requests, MFA status, authentication tokens, and access evaluations.","Failed login status, geo-location velocity alerts, MFA approval logs"
SRC-00057,REC-0014,Endpoint Detection Systems,EDR Engine,High,2026-06-19 23:22,"Automated endpoint threat analysis, behavior tracking, and detection warnings.","Heuristic trigger scores, suspicious command-line execution patterns"
SRC-00058,REC-0015,Security Logs,SIEM Stream,Moderate,2026-06-13 23:46,Aggregated operating system and active security services events.,"Event ID 4624 (successful login), privilege service requests, firewall logs"
SRC-00059,REC-0015,Network Anomaly Detection,IDS/IPS System,Very High,2026-06-13 23:56,Deep packet analysis searching for payload abnormalities and network threats.,"Suspected port scans, unexpected SMB payloads, DNS tunnel signatures"
SRC-00060,REC-0015,Threat Intelligence Feeds,External Threat Intel,Low,2026-06-13 23:24,"Reputation tracking database for bad IPs, domains, and known hash blocks.","Bad actor infrastructure IPs, malicious DNS names, hash signatures"
SRC-00061,REC-0015,Patch Compliance Records,Systems Management,High,2026-06-13 23:38,Compliance matrix listing applied vs pending software/security patches.,"KB patch IDs, installation date, OS build version numbers"
SRC-00062,REC-0015,Network Activity,NetFlow Collector,Very High,2026-06-13 23:02,Metadata for ingress/egress connections and internal network hops.,"Connection durations, data transferred (bytes), destination ports"
SRC-00063,REC-0016,Endpoint Detection Systems,EDR Engine,High,2026-06-07 23:30,"Automated endpoint threat analysis, behavior tracking, and detection warnings.","Heuristic trigger scores, suspicious command-line execution patterns"
SRC-00064,REC-0016,Security Logs,SIEM Stream,High,2026-06-07 23:20,Aggregated operating system and active security services events.,"Event ID 4624 (successful login), privilege service requests, firewall logs"
SRC-00065,REC-0016,Patch Compliance Records,Systems Management,High,2026-06-07 23:31,Compliance matrix listing applied vs pending software/security patches.,"KB patch IDs, installation date, OS build version numbers"
SRC-00066,REC-0017,Malware Detection Engine,Antivirus Scanner,High,2026-05-25 23:31,Active file scanner matching signatures against global virus databases.,"File hash signatures, virus definition release dates, quarantine status"
SRC-00067,REC-0017,Authentication Events,Identity Provider,High,2026-05-25 23:11,"Sign-in requests, MFA status, authentication tokens, and access evaluations.","Failed login status, geo-location velocity alerts, MFA approval logs"
SRC-00068,REC-0017,Security Logs,SIEM Stream,Very High,2026-05-25 23:10,Aggregated operating system and active security services events.,"Event ID 4624 (successful login), privilege service requests, firewall logs"
SRC-00069,REC-0018,Device Telemetry,Endpoint Agent,High,2026-06-15 23:04,"Real-time process, memory, and registry events from local device agent.","Process creation flags, DLL injection traces, registry modification events"
SRC-00070,REC-0018,Security Logs,SIEM Stream,Very High,2026-06-15 23:31,Aggregated operating system and active security services events.,"Event ID 4624 (successful login), privilege service requests, firewall logs"
SRC-00071,REC-0018,Malware Detection Engine,Antivirus Scanner,High,2026-06-15 23:30,Active file scanner matching signatures against global virus databases.,"File hash signatures, virus definition release dates, quarantine status"
SRC-00072,REC-0019,Network Anomaly Detection,IDS/IPS System,Very High,2026-06-18 23:04,Deep packet analysis searching for payload abnormalities and network threats.,"Suspected port scans, unexpected SMB payloads, DNS tunnel signatures"
SRC-00073,REC-0019,Patch Compliance Records,Systems Management,Moderate,2026-06-18 23:33,Compliance matrix listing applied vs pending software/security patches.,"KB patch IDs, installation date, OS build version numbers"
SRC-00074,REC-0019,Historical Incident Records,Incident Registry,Low,2026-06-18 23:41,Database archives of past organizational threats and remediation histories.,"Similar dev box compromise records, past false positive incident resolutions"
SRC-00075,REC-0019,Threat Intelligence Feeds,External Threat Intel,Very High,2026-06-18 23:35,"Reputation tracking database for bad IPs, domains, and known hash blocks.","Bad actor infrastructure IPs, malicious DNS names, hash signatures"
SRC-00076,REC-0019,Authentication Events,Identity Provider,High,2026-06-18 23:56,"Sign-in requests, MFA status, authentication tokens, and access evaluations.","Failed login status, geo-location velocity alerts, MFA approval logs"
SRC-00077,REC-0020,Historical Incident Records,Incident Registry,High,2026-05-17 23:04,Database archives of past organizational threats and remediation histories.,"Similar dev box compromise records, past false positive incident resolutions"
SRC-00078,REC-0020,Security Logs,SIEM Stream,Very High,2026-05-17 23:17,Aggregated operating system and active security services events.,"Event ID 4624 (successful login), privilege service requests, firewall logs"
SRC-00079,REC-0020,Patch Compliance Records,Systems Management,High,2026-05-17 23:09,Compliance matrix listing applied vs pending software/security patches.,"KB patch IDs, installation date, OS build version numbers"
SRC-00080,REC-0021,Authentication Events,Identity Provider,Moderate,2026-05-30 23:49,"Sign-in requests, MFA status, authentication tokens, and access evaluations.","Failed login status, geo-location velocity alerts, MFA approval logs"
SRC-00081,REC-0021,Threat Intelligence Feeds,External Threat Intel,Very High,2026-05-30 23:02,"Reputation tracking database for bad IPs, domains, and known hash blocks.","Bad actor infrastructure IPs, malicious DNS names, hash signatures"
SRC-00082,REC-0021,Network Activity,NetFlow Collector,Very High,2026-05-30 23:36,Metadata for ingress/egress connections and internal network hops.,"Connection durations, data transferred (bytes), destination ports"
SRC-00083,REC-0021,Network Anomaly Detection,IDS/IPS System,High,2026-05-30 23:30,Deep packet analysis searching for payload abnormalities and network threats.,"Suspected port scans, unexpected SMB payloads, DNS tunnel signatures"
SRC-00084,REC-0021,Endpoint Detection Systems,EDR Engine,Very High,2026-05-30 23:16,"Automated endpoint threat analysis, behavior tracking, and detection warnings.","Heuristic trigger scores, suspicious command-line execution patterns"
SRC-00085,REC-0022,Endpoint Detection Systems,EDR Engine,Very High,2026-06-17 23:22,"Automated endpoint threat analysis, behavior tracking, and detection warnings.","Heuristic trigger scores, suspicious command-line execution patterns"
SRC-00086,REC-0022,Authentication Events,Identity Provider,Moderate,2026-06-17 23:17,"Sign-in requests, MFA status, authentication tokens, and access evaluations.","Failed login status, geo-location velocity alerts, MFA approval logs"
SRC-00087,REC-0022,Threat Intelligence Feeds,External Threat Intel,High,2026-06-17 23:34,"Reputation tracking database for bad IPs, domains, and known hash blocks.","Bad actor infrastructure IPs, malicious DNS names, hash signatures"
SRC-00088,REC-0022,Historical Incident Records,Incident Registry,Very High,2026-06-17 23:17,Database archives of past organizational threats and remediation histories.,"Similar dev box compromise records, past false positive incident resolutions"
SRC-00089,REC-0023,Device Telemetry,Endpoint Agent,Very High,2026-05-26 23:11,"Real-time process, memory, and registry events from local device agent.","Process creation flags, DLL injection traces, registry modification events"
SRC-00090,REC-0023,Network Anomaly Detection,IDS/IPS System,Moderate,2026-05-26 23:03,Deep packet analysis searching for payload abnormalities and network threats.,"Suspected port scans, unexpected SMB payloads, DNS tunnel signatures"
SRC-00091,REC-0023,Historical Incident Records,Incident Registry,Very High,2026-05-26 23:47,Database archives of past organizational threats and remediation histories.,"Similar dev box compromise records, past false positive incident resolutions"
SRC-00092,REC-0023,Security Logs,SIEM Stream,Very High,2026-05-26 23:53,Aggregated operating system and active security services events.,"Event ID 4624 (successful login), privilege service requests, firewall logs"
SRC-00093,REC-0024,Endpoint Detection Systems,EDR Engine,Very High,2026-05-13 23:18,"Automated endpoint threat analysis, behavior tracking, and detection warnings.","Heuristic trigger scores, suspicious command-line execution patterns"
SRC-00094,REC-0024,Threat Intelligence Feeds,External Threat Intel,Low,2026-05-13 23:16,"Reputation tracking database for bad IPs, domains, and known hash blocks.","Bad actor infrastructure IPs, malicious DNS names, hash signatures"
SRC-00095,REC-0024,Network Activity,NetFlow Collector,Moderate,2026-05-13 23:29,Metadata for ingress/egress connections and internal network hops.,"Connection durations, data transferred (bytes), destination ports"
SRC-00096,REC-0024,Device Telemetry,Endpoint Agent,Very High,2026-05-13 23:28,"Real-time process, memory, and registry events from local device agent.","Process creation flags, DLL injection traces, registry modification events"
SRC-00097,REC-0025,Network Anomaly Detection,IDS/IPS System,Moderate,2026-06-16 23:01,Deep packet analysis searching for payload abnormalities and network threats.,"Suspected port scans, unexpected SMB payloads, DNS tunnel signatures"
SRC-00098,REC-0025,Security Logs,SIEM Stream,High,2026-06-16 23:39,Aggregated operating system and active security services events.,"Event ID 4624 (successful login), privilege service requests, firewall logs"
SRC-00099,REC-0025,Authentication Events,Identity Provider,Very High,2026-06-16 23:15,"Sign-in requests, MFA status, authentication tokens, and access evaluations.","Failed login status, geo-location velocity alerts, MFA approval logs"
SRC-00100,REC-0026,Malware Detection Engine,Antivirus Scanner,Very High,2026-05-20 23:23,Active file scanner matching signatures against global virus databases.,"File hash signatures, virus definition release dates, quarantine status"
SRC-00101,REC-0026,Patch Compliance Records,Systems Management,Very High,2026-05-20 23:57,Compliance matrix listing applied vs pending software/security patches.,"KB patch IDs, installation date, OS build version numbers"
SRC-00102,REC-0026,Historical Incident Records,Incident Registry,High,2026-05-20 23:43,Database archives of past organizational threats and remediation histories.,"Similar dev box compromise records, past false positive incident resolutions"
SRC-00103,REC-0026,Threat Intelligence Feeds,External Threat Intel,Very High,2026-05-20 23:46,"Reputation tracking database for bad IPs, domains, and known hash blocks.","Bad actor infrastructure IPs, malicious DNS names, hash signatures"
SRC-00104,REC-0026,Network Activity,NetFlow Collector,Moderate,2026-05-20 23:54,Metadata for ingress/egress connections and internal network hops.,"Connection durations, data transferred (bytes), destination ports"
SRC-00105,REC-0027,Threat Intelligence Feeds,External Threat Intel,High,2026-06-20 23:06,"Reputation tracking database for bad IPs, domains, and known hash blocks.","Bad actor infrastructure IPs, malicious DNS names, hash signatures"
SRC-00106,REC-0027,Malware Detection Engine,Antivirus Scanner,High,2026-06-20 23:07,Active file scanner matching signatures against global virus databases.,"File hash signatures, virus definition release dates, quarantine status"
SRC-00107,REC-0027,Network Anomaly Detection,IDS/IPS System,Very High,2026-06-20 23:41,Deep packet analysis searching for payload abnormalities and network threats.,"Suspected port scans, unexpected SMB payloads, DNS tunnel signatures"
SRC-00108,REC-0028,Security Logs,SIEM Stream,High,2026-05-26 23:19,Aggregated operating system and active security services events.,"Event ID 4624 (successful login), privilege service requests, firewall logs"
SRC-00109,REC-0028,Network Activity,NetFlow Collector,Very High,2026-05-26 23:54,Metadata for ingress/egress connections and internal network hops.,"Connection durations, data transferred (bytes), destination ports"
SRC-00110,REC-0028,Historical Incident Records,Incident Registry,Low,2026-05-26 23:26,Database archives of past organizational threats and remediation histories.,"Similar dev box compromise records, past false positive incident resolutions"
SRC-00111,REC-0029,Security Logs,SIEM Stream,Low,2026-05-16 23:57,Aggregated operating system and active security services events.,"Event ID 4624 (successful login), privilege service requests, firewall logs"
SRC-00112,REC-0029,Historical Incident Records,Incident Registry,Very High,2026-05-16 23:47,Database archives of past organizational threats and remediation histories.,"Similar dev box compromise records, past false positive incident resolutions"
SRC-00113,REC-0029,Network Activity,NetFlow Collector,Moderate,2026-05-16 23:43,Metadata for ingress/egress connections and internal network hops.,"Connection durations, data transferred (bytes), destination ports"
SRC-00114,REC-0029,Patch Compliance Records,Systems Management,Very High,2026-05-16 23:02,Compliance matrix listing applied vs pending software/security patches.,"KB patch IDs, installation date, OS build version numbers"
SRC-00115,REC-0029,Network Anomaly Detection,IDS/IPS System,Moderate,2026-05-16 23:56,Deep packet analysis searching for payload abnormalities and network threats.,"Suspected port scans, unexpected SMB payloads, DNS tunnel signatures"
SRC-00116,REC-0030,Endpoint Detection Systems,EDR Engine,High,2026-06-08 23:35,"Automated endpoint threat analysis, behavior tracking, and detection warnings.","Heuristic trigger scores, suspicious command-line execution patterns"
SRC-00117,REC-0030,Historical Incident Records,Incident Registry,Moderate,2026-06-08 23:16,Database archives of past organizational threats and remediation histories.,"Similar dev box compromise records, past false positive incident resolutions"
SRC-00118,REC-0030,Threat Intelligence Feeds,External Threat Intel,High,2026-06-08 23:26,"Reputation tracking database for bad IPs, domains, and known hash blocks.","Bad actor infrastructure IPs, malicious DNS names, hash signatures"
SRC-00119,REC-0030,Device Telemetry,Endpoint Agent,Moderate,2026-06-08 23:18,"Real-time process, memory, and registry events from local device agent.","Process creation flags, DLL injection traces, registry modification events"
SRC-00120,REC-0030,Authentication Events,Identity Provider,Very High,2026-06-08 23:45,"Sign-in requests, MFA status, authentication tokens, and access evaluations.","Failed login status, geo-location velocity alerts, MFA approval logs"
SRC-00121,REC-0031,Threat Intelligence Feeds,External Threat Intel,Very High,2026-06-09 23:14,"Reputation tracking database for bad IPs, domains, and known hash blocks.","Bad actor infrastructure IPs, malicious DNS names, hash signatures"
SRC-00122,REC-0031,Malware Detection Engine,Antivirus Scanner,Very High,2026-06-09 23:20,Active file scanner matching signatures against global virus databases.,"File hash signatures, virus definition release dates, quarantine status"
SRC-00123,REC-0031,Historical Incident Records,Incident Registry,High,2026-06-09 23:01,Database archives of past organizational threats and remediation histories.,"Similar dev box compromise records, past false positive incident resolutions"
SRC-00124,REC-0032,Network Anomaly Detection,IDS/IPS System,High,2026-06-09 23:55,Deep packet analysis searching for payload abnormalities and network threats.,"Suspected port scans, unexpected SMB payloads, DNS tunnel signatures"
SRC-00125,REC-0032,Authentication Events,Identity Provider,Moderate,2026-06-09 23:16,"Sign-in requests, MFA status, authentication tokens, and access evaluations.","Failed login status, geo-location velocity alerts, MFA approval logs"
SRC-00126,REC-0032,Historical Incident Records,Incident Registry,Very High,2026-06-09 23:03,Database archives of past organizational threats and remediation histories.,"Similar dev box compromise records, past false positive incident resolutions"
SRC-00127,REC-0032,Threat Intelligence Feeds,External Threat Intel,High,2026-06-09 23:39,"Reputation tracking database for bad IPs, domains, and known hash blocks.","Bad actor infrastructure IPs, malicious DNS names, hash signatures"
SRC-00128,REC-0033,Security Logs,SIEM Stream,High,2026-05-30 23:24,Aggregated operating system and active security services events.,"Event ID 4624 (successful login), privilege service requests, firewall logs"
SRC-00129,REC-0033,Threat Intelligence Feeds,External Threat Intel,High,2026-05-30 23:46,"Reputation tracking database for bad IPs, domains, and known hash blocks.","Bad actor infrastructure IPs, malicious DNS names, hash signatures"
SRC-00130,REC-0033,Authentication Events,Identity Provider,Low,2026-05-30 23:44,"Sign-in requests, MFA status, authentication tokens, and access evaluations.","Failed login status, geo-location velocity alerts, MFA approval logs"
SRC-00131,REC-0033,Malware Detection Engine,Antivirus Scanner,Very High,2026-05-30 23:47,Active file scanner matching signatures against global virus databases.,"File hash signatures, virus definition release dates, quarantine status"
SRC-00132,REC-0034,Network Anomaly Detection,IDS/IPS System,Very High,2026-05-07 23:04,Deep packet analysis searching for payload abnormalities and network threats.,"Suspected port scans, unexpected SMB payloads, DNS tunnel signatures"
SRC-00133,REC-0034,Threat Intelligence Feeds,External Threat Intel,High,2026-05-07 23:16,"Reputation tracking database for bad IPs, domains, and known hash blocks.","Bad actor infrastructure IPs, malicious DNS names, hash signatures"
SRC-00134,REC-0034,Network Activity,NetFlow Collector,Moderate,2026-05-07 23:34,Metadata for ingress/egress connections and internal network hops.,"Connection durations, data transferred (bytes), destination ports"
SRC-00135,REC-0034,Authentication Events,Identity Provider,High,2026-05-07 23:28,"Sign-in requests, MFA status, authentication tokens, and access evaluations.","Failed login status, geo-location velocity alerts, MFA approval logs"
SRC-00136,REC-0034,Historical Incident Records,Incident Registry,High,2026-05-07 23:26,Database archives of past organizational threats and remediation histories.,"Similar dev box compromise records, past false positive incident resolutions"
SRC-00137,REC-0035,Threat Intelligence Feeds,External Threat Intel,Moderate,2026-05-08 23:35,"Reputation tracking database for bad IPs, domains, and known hash blocks.","Bad actor infrastructure IPs, malicious DNS names, hash signatures"
SRC-00138,REC-0035,Device Telemetry,Endpoint Agent,Very High,2026-05-08 23:32,"Real-time process, memory, and registry events from local device agent.","Process creation flags, DLL injection traces, registry modification events"
SRC-00139,REC-0035,Network Anomaly Detection,IDS/IPS System,Low,2026-05-08 23:51,Deep packet analysis searching for payload abnormalities and network threats.,"Suspected port scans, unexpected SMB payloads, DNS tunnel signatures"
SRC-00140,REC-0036,Threat Intelligence Feeds,External Threat Intel,High,2026-06-18 23:26,"Reputation tracking database for bad IPs, domains, and known hash blocks.","Bad actor infrastructure IPs, malicious DNS names, hash signatures"
SRC-00141,REC-0036,Network Activity,NetFlow Collector,Low,2026-06-18 23:08,Metadata for ingress/egress connections and internal network hops.,"Connection durations, data transferred (bytes), destination ports"
SRC-00142,REC-0036,Historical Incident Records,Incident Registry,High,2026-06-18 23:34,Database archives of past organizational threats and remediation histories.,"Similar dev box compromise records, past false positive incident resolutions"
SRC-00143,REC-0036,Device Telemetry,Endpoint Agent,Very High,2026-06-18 23:18,"Real-time process, memory, and registry events from local device agent.","Process creation flags, DLL injection traces, registry modification events"
SRC-00144,REC-0037,Network Activity,NetFlow Collector,Very High,2026-06-04 23:33,Metadata for ingress/egress connections and internal network hops.,"Connection durations, data transferred (bytes), destination ports"
SRC-00145,REC-0037,Threat Intelligence Feeds,External Threat Intel,Very High,2026-06-04 23:57,"Reputation tracking database for bad IPs, domains, and known hash blocks.","Bad actor infrastructure IPs, malicious DNS names, hash signatures"
SRC-00146,REC-0037,Malware Detection Engine,Antivirus Scanner,High,2026-06-04 23:38,Active file scanner matching signatures against global virus databases.,"File hash signatures, virus definition release dates, quarantine status"
SRC-00147,REC-0037,Endpoint Detection Systems,EDR Engine,Very High,2026-06-04 23:17,"Automated endpoint threat analysis, behavior tracking, and detection warnings.","Heuristic trigger scores, suspicious command-line execution patterns"
SRC-00148,REC-0037,Historical Incident Records,Incident Registry,Moderate,2026-06-04 23:40,Database archives of past organizational threats and remediation histories.,"Similar dev box compromise records, past false positive incident resolutions"
SRC-00149,REC-0038,Network Activity,NetFlow Collector,Very High,2026-05-07 23:16,Metadata for ingress/egress connections and internal network hops.,"Connection durations, data transferred (bytes), destination ports"
