recommendation_id,device_id,case_id,counter_consideration
REC-0156,DEV-0058,CASE-0156,Finance remote logins may reflect approved work-from-new-location policy.
REC-0157,DEV-0147,CASE-0157,Finance remote logins may reflect approved work-from-new-location policy.
REC-0158,DEV-0060,CASE-0158,Similar behavior has previously occurred during software updates.
REC-0159,DEV-0107,CASE-0159,Finance remote logins may reflect approved work-from-new-location policy.
REC-0160,DEV-0004,CASE-0160,Internal pen-test activity can mimic external scanning patterns.
REC-0161,DEV-0116,CASE-0161,Staging servers routinely generate burst traffic during nightly test runs.
REC-0162,DEV-0156,CASE-0162,Internal pen-test activity can mimic external scanning patterns.
REC-0163,DEV-0033,CASE-0163,Staging servers routinely generate burst traffic during nightly test runs.
REC-0164,DEV-0047,CASE-0164,Staging servers routinely generate burst traffic during nightly test runs.
REC-0165,DEV-0219,CASE-0165,Patch deployment windows correlate with elevated endpoint telemetry noise.
REC-0166,DEV-0176,CASE-0166,Patch deployment windows correlate with elevated endpoint telemetry noise.
REC-0167,DEV-0244,CASE-0167,Staging servers routinely generate burst traffic during nightly test runs.
REC-0168,DEV-0196,CASE-0168,Executive devices frequently show off-hours file activity before travel.
REC-0169,DEV-0064,CASE-0169,This device model often triggers benign network scans during backup jobs.
REC-0170,DEV-0045,CASE-0170,Similar behavior has previously occurred during software updates.
REC-0171,DEV-0179,CASE-0171,Internal pen-test activity can mimic external scanning patterns.
REC-0172,DEV-0061,CASE-0172,Executive devices frequently show off-hours file activity before travel.
REC-0173,DEV-0189,CASE-0173,Staging servers routinely generate burst traffic during nightly test runs.
REC-0174,DEV-0088,CASE-0174,Similar behavior has previously occurred during software updates.
REC-0175,DEV-0189,CASE-0175,This device model often triggers benign network scans during backup jobs.
REC-0176,DEV-0068,CASE-0176,Finance remote logins may reflect approved work-from-new-location policy.
REC-0177,DEV-0142,CASE-0177,Executive devices frequently show off-hours file activity before travel.
REC-0178,DEV-0163,CASE-0178,This device model often triggers benign network scans during backup jobs.
REC-0179,DEV-0099,CASE-0179,Similar behavior has previously occurred during software updates.
REC-0180,DEV-0118,CASE-0180,Historical false positives were linked to scheduled QA stress tests.
REC-0181,DEV-0220,CASE-0181,Executive devices frequently show off-hours file activity before travel.
REC-0182,DEV-0158,CASE-0182,Internal pen-test activity can mimic external scanning patterns.
REC-0183,DEV-0170,CASE-0183,Patch deployment windows correlate with elevated endpoint telemetry noise.
REC-0184,DEV-0233,CASE-0184,Similar behavior has previously occurred during software updates.
REC-0185,DEV-0243,CASE-0185,Internal pen-test activity can mimic external scanning patterns.
REC-0186,DEV-0028,CASE-0186,Similar behavior has previously occurred during software updates.
REC-0187,DEV-0209,CASE-0187,Patch deployment windows correlate with elevated endpoint telemetry noise.
REC-0188,DEV-0216,CASE-0188,This device model often triggers benign network scans during backup jobs.
REC-0189,DEV-0048,CASE-0189,Internal pen-test activity can mimic external scanning patterns.
REC-0190,DEV-0093,CASE-0190,Internal pen-test activity can mimic external scanning patterns.
REC-0191,DEV-0026,CASE-0191,Similar behavior has previously occurred during software updates.
REC-0192,DEV-0191,CASE-0192,Executive devices frequently show off-hours file activity before travel.
REC-0193,DEV-0061,CASE-0193,Staging servers routinely generate burst traffic during nightly test runs.
REC-0194,DEV-0215,CASE-0194,Patch deployment windows correlate with elevated endpoint telemetry noise.
REC-0195,DEV-0081,CASE-0195,Executive devices frequently show off-hours file activity before travel.
REC-0196,DEV-0215,CASE-0196,Patch deployment windows correlate with elevated endpoint telemetry noise.
REC-0197,DEV-0008,CASE-0197,Similar behavior has previously occurred during software updates.
REC-0198,DEV-0083,CASE-0198,This device model often triggers benign network scans during backup jobs.
REC-0199,DEV-0235,CASE-0199,Executive devices frequently show off-hours file activity before travel.
REC-0200,DEV-0103,CASE-0200,Historical false positives were linked to scheduled QA stress tests.
REC-0201,DEV-0137,CASE-0201,Staging servers routinely generate burst traffic during nightly test runs.
REC-0202,DEV-0236,CASE-0202,Patch deployment windows correlate with elevated endpoint telemetry noise.
REC-0203,DEV-0002,CASE-0203,Finance remote logins may reflect approved work-from-new-location policy.
REC-0204,DEV-0084,CASE-0204,This device model often triggers benign network scans during backup jobs.
REC-0205,DEV-0033,CASE-0205,This device model often triggers benign network scans during backup jobs.
REC-0206,DEV-0214,CASE-0206,Finance remote logins may reflect approved work-from-new-location policy.
REC-0207,DEV-0096,CASE-0207,Finance remote logins may reflect approved work-from-new-location policy.
REC-0208,DEV-0200,CASE-0208,Executive devices frequently show off-hours file activity before travel.
REC-0209,DEV-0084,CASE-0209,Similar behavior has previously occurred during software updates.
REC-0210,DEV-0141,CASE-0210,Similar behavior has previously occurred during software updates.
REC-0211,DEV-0068,CASE-0211,Historical false positives were linked to scheduled QA stress tests.
REC-0212,DEV-0004,CASE-0212,Staging servers routinely generate burst traffic during nightly test runs.
REC-0213,DEV-0171,CASE-0213,Patch deployment windows correlate with elevated endpoint telemetry noise.
REC-0214,DEV-0055,CASE-0214,Similar behavior has previously occurred during software updates.
REC-0215,DEV-0160,CASE-0215,Internal pen-test activity can mimic external scanning patterns.
REC-0216,DEV-0091,CASE-0216,Historical false positives were linked to scheduled QA stress tests.
REC-0217,DEV-0221,CASE-0217,Historical false positives were linked to scheduled QA stress tests.
REC-0218,DEV-0106,CASE-0218,This device model often triggers benign network scans during backup jobs.
REC-0219,DEV-0027,CASE-0219,This device model often triggers benign network scans during backup jobs.
REC-0220,DEV-0169,CASE-0220,Staging servers routinely generate burst traffic during nightly test runs.
REC-0221,DEV-0243,CASE-0221,Executive devices frequently show off-hours file activity before travel.
REC-0222,DEV-0016,CASE-0222,Internal pen-test activity can mimic external scanning patterns.
REC-0223,DEV-0048,CASE-0223,Finance remote logins may reflect approved work-from-new-location policy.
REC-0224,DEV-0122,CASE-0224,Finance remote logins may reflect approved work-from-new-location policy.
REC-0225,DEV-0192,CASE-0225,Staging servers routinely generate burst traffic during nightly test runs.
REC-0226,DEV-0216,CASE-0226,Historical false positives were linked to scheduled QA stress tests.
REC-0227,DEV-0202,CASE-0227,Staging servers routinely generate burst traffic during nightly test runs.
REC-0228,DEV-0210,CASE-0228,Finance remote logins may reflect approved work-from-new-location policy.
REC-0229,DEV-0062,CASE-0229,Historical false positives were linked to scheduled QA stress tests.
REC-0230,DEV-0221,CASE-0230,Finance remote logins may reflect approved work-from-new-location policy.
REC-0231,DEV-0082,CASE-0231,Executive devices frequently show off-hours file activity before travel.
REC-0232,DEV-0183,CASE-0232,This device model often triggers benign network scans during backup jobs.
REC-0233,DEV-0073,CASE-0233,This device model often triggers benign network scans during backup jobs.
REC-0234,DEV-0149,CASE-0234,Historical false positives were linked to scheduled QA stress tests.
REC-0235,DEV-0106,CASE-0235,Staging servers routinely generate burst traffic during nightly test runs.
REC-0236,DEV-0154,CASE-0236,Finance remote logins may reflect approved work-from-new-location policy.
REC-0237,DEV-0176,CASE-0237,Similar behavior has previously occurred during software updates.
REC-0238,DEV-0131,CASE-0238,Executive devices frequently show off-hours file activity before travel.
REC-0239,DEV-0037,CASE-0239,Finance remote logins may reflect approved work-from-new-location policy.
REC-0240,DEV-0098,CASE-0240,Patch deployment windows correlate with elevated endpoint telemetry noise.
REC-0241,DEV-0102,CASE-0241,Similar behavior has previously occurred during software updates.
REC-0242,DEV-0056,CASE-0242,Executive devices frequently show off-hours file activity before travel.
REC-0243,DEV-0039,CASE-0243,Executive devices frequently show off-hours file activity before travel.
REC-0244,DEV-0057,CASE-0244,This device model often triggers benign network scans during backup jobs.
REC-0245,DEV-0108,CASE-0245,Historical false positives were linked to scheduled QA stress tests.
REC-0246,DEV-0011,CASE-0246,Finance remote logins may reflect approved work-from-new-location policy.
REC-0247,DEV-0175,CASE-0247,Executive devices frequently show off-hours file activity before travel.
REC-0248,DEV-0195,CASE-0248,Finance remote logins may reflect approved work-from-new-location policy.
REC-0249,DEV-0156,CASE-0249,Executive devices frequently show off-hours file activity before travel.
REC-0250,DEV-0015,CASE-0250,Staging servers routinely generate burst traffic during nightly test runs.
REC-0251,DEV-0049,CASE-0251,Internal pen-test activity can mimic external scanning patterns.
REC-0252,DEV-0116,CASE-0252,This device model often triggers benign network scans during backup jobs.
REC-0253,DEV-0101,CASE-0253,Historical false positives were linked to scheduled QA stress tests.
REC-0254,DEV-0215,CASE-0254,Similar behavior has previously occurred during software updates.
REC-0255,DEV-0130,CASE-0255,Similar behavior has previously occurred during software updates.
REC-0256,DEV-0166,CASE-0256,Staging servers routinely generate burst traffic during nightly test runs.
REC-0257,DEV-0028,CASE-0257,Patch deployment windows correlate with elevated endpoint telemetry noise.
REC-0258,DEV-0104,CASE-0258,This device model often triggers benign network scans during backup jobs.
REC-0259,DEV-0095,CASE-0259,Executive devices frequently show off-hours file activity before travel.
REC-0260,DEV-0183,CASE-0260,This device model often triggers benign network scans during backup jobs.
REC-0261,DEV-0153,CASE-0261,Historical false positives were linked to scheduled QA stress tests.
REC-0262,DEV-0153,CASE-0262,Internal pen-test activity can mimic external scanning patterns.
REC-0263,DEV-0202,CASE-0263,Similar behavior has previously occurred during software updates.
REC-0264,DEV-0119,CASE-0264,Finance remote logins may reflect approved work-from-new-location policy.
REC-0265,DEV-0043,CASE-0265,Similar behavior has previously occurred during software updates.
REC-0266,DEV-0179,CASE-0266,Patch deployment windows correlate with elevated endpoint telemetry noise.
REC-0267,DEV-0042,CASE-0267,Patch deployment windows correlate with elevated endpoint telemetry noise.
REC-0268,DEV-0126,CASE-0268,Patch deployment windows correlate with elevated endpoint telemetry noise.
REC-0269,DEV-0101,CASE-0269,Patch deployment windows correlate with elevated endpoint telemetry noise.
REC-0270,DEV-0128,CASE-0270,Historical false positives were linked to scheduled QA stress tests.
REC-0271,DEV-0018,CASE-0271,Executive devices frequently show off-hours file activity before travel.
REC-0272,DEV-0076,CASE-0272,This device model often triggers benign network scans during backup jobs.
REC-0273,DEV-0211,CASE-0273,Similar behavior has previously occurred during software updates.
REC-0274,DEV-0096,CASE-0274,Patch deployment windows correlate with elevated endpoint telemetry noise.
REC-0275,DEV-0031,CASE-0275,Similar behavior has previously occurred during software updates.
REC-0276,DEV-0174,CASE-0276,Patch deployment windows correlate with elevated endpoint telemetry noise.
REC-0277,DEV-0171,CASE-0277,Finance remote logins may reflect approved work-from-new-location policy.
REC-0278,DEV-0137,CASE-0278,This device model often triggers benign network scans during backup jobs.
REC-0279,DEV-0115,CASE-0279,Finance remote logins may reflect approved work-from-new-location policy.
REC-0280,DEV-0200,CASE-0280,Finance remote logins may reflect approved work-from-new-location policy.
REC-0281,DEV-0038,CASE-0281,Patch deployment windows correlate with elevated endpoint telemetry noise.
REC-0282,DEV-0099,CASE-0282,Internal pen-test activity can mimic external scanning patterns.
REC-0283,DEV-0111,CASE-0283,Executive devices frequently show off-hours file activity before travel.
REC-0284,DEV-0005,CASE-0284,Similar behavior has previously occurred during software updates.
REC-0285,DEV-0158,CASE-0285,Internal pen-test activity can mimic external scanning patterns.
REC-0286,DEV-0216,CASE-0286,Staging servers routinely generate burst traffic during nightly test runs.
REC-0287,DEV-0089,CASE-0287,This device model often triggers benign network scans during backup jobs.
REC-0288,DEV-0104,CASE-0288,Internal pen-test activity can mimic external scanning patterns.
REC-0289,DEV-0052,CASE-0289,Executive devices frequently show off-hours file activity before travel.
REC-0290,DEV-0246,CASE-0290,Staging servers routinely generate burst traffic during nightly test runs.
REC-0291,DEV-0060,CASE-0291,Executive devices frequently show off-hours file activity before travel.
REC-0292,DEV-0206,CASE-0292,Internal pen-test activity can mimic external scanning patterns.
REC-0293,DEV-0061,CASE-0293,Patch deployment windows correlate with elevated endpoint telemetry noise.
REC-0294,DEV-0190,CASE-0294,Patch deployment windows correlate with elevated endpoint telemetry noise.
REC-0295,DEV-0208,CASE-0295,Executive devices frequently show off-hours file activity before travel.
REC-0296,DEV-0006,CASE-0296,Internal pen-test activity can mimic external scanning patterns.
REC-0297,DEV-0196,CASE-0297,Historical false positives were linked to scheduled QA stress tests.
REC-0298,DEV-0225,CASE-0298,Historical false positives were linked to scheduled QA stress tests.
REC-0299,DEV-0094,CASE-0299,Executive devices frequently show off-hours file activity before travel.
REC-0300,DEV-0210,CASE-0300,Historical false positives were linked to scheduled QA stress tests.
REC-0301,DEV-0231,CASE-0301,This device model often triggers benign network scans during backup jobs.
REC-0302,DEV-0209,CASE-0302,Similar behavior has previously occurred during software updates.
REC-0303,DEV-0124,CASE-0303,Staging servers routinely generate burst traffic during nightly test runs.
REC-0304,DEV-0063,CASE-0304,Patch deployment windows correlate with elevated endpoint telemetry noise.
REC-0305,DEV-0038,CASE-0305,This device model often triggers benign network scans during backup jobs.
REC-0306,DEV-0137,CASE-0306,Similar behavior has previously occurred during software updates.
REC-0307,DEV-0194,CASE-0307,Historical false positives were linked to scheduled QA stress tests.
REC-0308,DEV-0047,CASE-0308,Staging servers routinely generate burst traffic during nightly test runs.
REC-0309,DEV-0113,CASE-0309,This device model often triggers benign network scans during backup jobs.
REC-0310,DEV-0047,CASE-0310,Finance remote logins may reflect approved work-from-new-location policy.
REC-0311,DEV-0096,CASE-0311,Patch deployment windows correlate with elevated endpoint telemetry noise.
REC-0312,DEV-0084,CASE-0312,Executive devices frequently show off-hours file activity before travel.
REC-0313,DEV-0217,CASE-0313,Patch deployment windows correlate with elevated endpoint telemetry noise.
REC-0314,DEV-0081,CASE-0314,Similar behavior has previously occurred during software updates.
REC-0315,DEV-0099,CASE-0315,Similar behavior has previously occurred during software updates.
REC-0316,DEV-0212,CASE-0316,Finance remote logins may reflect approved work-from-new-location policy.
REC-0317,DEV-0084,CASE-0317,Finance remote logins may reflect approved work-from-new-location policy.
REC-0318,DEV-0171,CASE-0318,Executive devices frequently show off-hours file activity before travel.
REC-0319,DEV-0137,CASE-0319,Historical false positives were linked to scheduled QA stress tests.
REC-0320,DEV-0220,CASE-0320,Patch deployment windows correlate with elevated endpoint telemetry noise.
REC-0321,DEV-0117,CASE-0321,This device model often triggers benign network scans during backup jobs.
REC-0322,DEV-0233,CASE-0322,Internal pen-test activity can mimic external scanning patterns.
REC-0323,DEV-0208,CASE-0323,Internal pen-test activity can mimic external scanning patterns.
REC-0324,DEV-0074,CASE-0324,This device model often triggers benign network scans during backup jobs.
REC-0325,DEV-0071,CASE-0325,This device model often triggers benign network scans during backup jobs.
REC-0326,DEV-0099,CASE-0326,Historical false positives were linked to scheduled QA stress tests.
REC-0327,DEV-0222,CASE-0327,Patch deployment windows correlate with elevated endpoint telemetry noise.
REC-0328,DEV-0095,CASE-0328,Patch deployment windows correlate with elevated endpoint telemetry noise.
REC-0329,DEV-0002,CASE-0329,Internal pen-test activity can mimic external scanning patterns.
REC-0330,DEV-0113,CASE-0330,Executive devices frequently show off-hours file activity before travel.
