recommendation_id,device_id,case_id,evidence_type,weight_percentage,description
REC-0642,DEV-0247,CASE-0642,Network Activity,9.4,Network Activity detected on DEV-0247-CORP with elevated correlation to deploy security patch.
REC-0678,DEV-0126,CASE-0678,Failed Logins,6.1,Failed Logins detected on DEV-0126-CORP with elevated correlation to force password reset.
REC-0678,DEV-0126,CASE-0678,Suspicious DNS Query,28.2,Suspicious DNS Query detected on DEV-0126-CORP with elevated correlation to force password reset.
REC-0678,DEV-0126,CASE-0678,Data Exfiltration Pattern,41.0,Data Exfiltration Pattern detected on DEV-0126-CORP with elevated correlation to force password reset.
REC-0678,DEV-0126,CASE-0678,Malware Signature,24.7,Malware Signature detected on DEV-0126-CORP with elevated correlation to force password reset.
REC-0079,DEV-0108,CASE-0079,Data Exfiltration Pattern,33.2,Data Exfiltration Pattern detected on DEV-0108-CORP with elevated correlation to restrict network access.
REC-0079,DEV-0108,CASE-0079,Anomalous Process,52.5,Anomalous Process detected on DEV-0108-CORP with elevated correlation to restrict network access.
REC-0079,DEV-0108,CASE-0079,Failed Logins,13.9,Failed Logins detected on DEV-0108-CORP with elevated correlation to restrict network access.
REC-0079,DEV-0108,CASE-0079,Privilege Escalation,0.1,Privilege Escalation detected on DEV-0108-CORP with elevated correlation to restrict network access.
REC-0079,DEV-0108,CASE-0079,Suspicious DNS Query,0.2,Suspicious DNS Query detected on DEV-0108-CORP with elevated correlation to restrict network access.
REC-0349,DEV-0188,CASE-0349,Suspicious DNS Query,0.9,Suspicious DNS Query detected on DEV-0188-CORP with elevated correlation to quarantine device.
REC-0349,DEV-0188,CASE-0349,Malware Signature,26.7,Malware Signature detected on DEV-0188-CORP with elevated correlation to quarantine device.
REC-0349,DEV-0188,CASE-0349,Failed Logins,57.8,Failed Logins detected on DEV-0188-CORP with elevated correlation to quarantine device.
REC-0349,DEV-0188,CASE-0349,Privilege Escalation,14.6,Privilege Escalation detected on DEV-0188-CORP with elevated correlation to quarantine device.
REC-0468,DEV-0086,CASE-0468,Privilege Escalation,68.2,Privilege Escalation detected on DEV-0086-CORP with elevated correlation to monitor device activity.
REC-0468,DEV-0086,CASE-0468,Data Exfiltration Pattern,17.5,Data Exfiltration Pattern detected on DEV-0086-CORP with elevated correlation to monitor device activity.
REC-0468,DEV-0086,CASE-0468,Malware Signature,14.3,Malware Signature detected on DEV-0086-CORP with elevated correlation to monitor device activity.
REC-0353,DEV-0246,CASE-0353,Network Activity,27.2,Network Activity detected on DEV-0246-CORP with elevated correlation to deploy security patch.
REC-0353,DEV-0246,CASE-0353,Privilege Escalation,23.1,Privilege Escalation detected on DEV-0246-CORP with elevated correlation to deploy security patch.
REC-0353,DEV-0246,CASE-0353,Suspicious DNS Query,9.5,Suspicious DNS Query detected on DEV-0246-CORP with elevated correlation to deploy security patch.
REC-0353,DEV-0246,CASE-0353,Anomalous Process,7.0,Anomalous Process detected on DEV-0246-CORP with elevated correlation to deploy security patch.
REC-0353,DEV-0246,CASE-0353,Malware Signature,33.2,Malware Signature detected on DEV-0246-CORP with elevated correlation to deploy security patch.
REC-0984,DEV-0230,CASE-0984,Suspicious DNS Query,24.2,Suspicious DNS Query detected on DEV-0230-CORP with elevated correlation to quarantine device.
REC-0984,DEV-0230,CASE-0984,Data Exfiltration Pattern,10.8,Data Exfiltration Pattern detected on DEV-0230-CORP with elevated correlation to quarantine device.
REC-0984,DEV-0230,CASE-0984,Privilege Escalation,17.1,Privilege Escalation detected on DEV-0230-CORP with elevated correlation to quarantine device.
REC-0984,DEV-0230,CASE-0984,Failed Logins,36.4,Failed Logins detected on DEV-0230-CORP with elevated correlation to quarantine device.
REC-0984,DEV-0230,CASE-0984,Network Activity,11.5,Network Activity detected on DEV-0230-CORP with elevated correlation to quarantine device.
REC-0365,DEV-0052,CASE-0365,Failed Logins,46.3,Failed Logins detected on DEV-0052-CORP with elevated correlation to deploy security patch.
REC-0365,DEV-0052,CASE-0365,Malware Signature,16.0,Malware Signature detected on DEV-0052-CORP with elevated correlation to deploy security patch.
REC-0365,DEV-0052,CASE-0365,Data Exfiltration Pattern,37.7,Data Exfiltration Pattern detected on DEV-0052-CORP with elevated correlation to deploy security patch.
REC-0132,DEV-0215,CASE-0132,Privilege Escalation,7.7,Privilege Escalation detected on DEV-0215-CORP with elevated correlation to restrict network access.
REC-0132,DEV-0215,CASE-0132,Failed Logins,52.1,Failed Logins detected on DEV-0215-CORP with elevated correlation to restrict network access.
REC-0132,DEV-0215,CASE-0132,Patch Violation,40.1,Patch Violation detected on DEV-0215-CORP with elevated correlation to restrict network access.
REC-0039,DEV-0011,CASE-0039,Failed Logins,33.9,Failed Logins detected on DEV-0011-CORP with elevated correlation to monitor device activity.
REC-0039,DEV-0011,CASE-0039,Network Activity,5.1,Network Activity detected on DEV-0011-CORP with elevated correlation to monitor device activity.
REC-0039,DEV-0011,CASE-0039,Patch Violation,24.3,Patch Violation detected on DEV-0011-CORP with elevated correlation to monitor device activity.
REC-0039,DEV-0011,CASE-0039,Anomalous Process,27.5,Anomalous Process detected on DEV-0011-CORP with elevated correlation to monitor device activity.
REC-0039,DEV-0011,CASE-0039,Data Exfiltration Pattern,9.2,Data Exfiltration Pattern detected on DEV-0011-CORP with elevated correlation to monitor device activity.
REC-0720,DEV-0045,CASE-0720,Failed Logins,15.0,Failed Logins detected on DEV-0045-CORP with elevated correlation to restrict network access.
REC-0720,DEV-0045,CASE-0720,Privilege Escalation,77.6,Privilege Escalation detected on DEV-0045-CORP with elevated correlation to restrict network access.
REC-0720,DEV-0045,CASE-0720,Patch Violation,7.4,Patch Violation detected on DEV-0045-CORP with elevated correlation to restrict network access.
REC-0679,DEV-0057,CASE-0679,Patch Violation,30.8,Patch Violation detected on DEV-0057-CORP with elevated correlation to quarantine device.
REC-0679,DEV-0057,CASE-0679,Anomalous Process,6.8,Anomalous Process detected on DEV-0057-CORP with elevated correlation to quarantine device.
REC-0679,DEV-0057,CASE-0679,Network Activity,25.3,Network Activity detected on DEV-0057-CORP with elevated correlation to quarantine device.
REC-0679,DEV-0057,CASE-0679,Privilege Escalation,2.8,Privilege Escalation detected on DEV-0057-CORP with elevated correlation to quarantine device.
REC-0679,DEV-0057,CASE-0679,Data Exfiltration Pattern,34.4,Data Exfiltration Pattern detected on DEV-0057-CORP with elevated correlation to quarantine device.
REC-0333,DEV-0078,CASE-0333,Suspicious DNS Query,50.2,Suspicious DNS Query detected on DEV-0078-CORP with elevated correlation to deploy security patch.
REC-0333,DEV-0078,CASE-0333,Network Activity,35.5,Network Activity detected on DEV-0078-CORP with elevated correlation to deploy security patch.
REC-0333,DEV-0078,CASE-0333,Malware Signature,9.0,Malware Signature detected on DEV-0078-CORP with elevated correlation to deploy security patch.
REC-0333,DEV-0078,CASE-0333,Privilege Escalation,5.3,Privilege Escalation detected on DEV-0078-CORP with elevated correlation to deploy security patch.
REC-0487,DEV-0166,CASE-0487,Data Exfiltration Pattern,0.5,Data Exfiltration Pattern detected on DEV-0166-CORP with elevated correlation to deploy security patch.
REC-0487,DEV-0166,CASE-0487,Malware Signature,15.0,Malware Signature detected on DEV-0166-CORP with elevated correlation to deploy security patch.
REC-0487,DEV-0166,CASE-0487,Patch Violation,63.7,Patch Violation detected on DEV-0166-CORP with elevated correlation to deploy security patch.
REC-0487,DEV-0166,CASE-0487,Suspicious DNS Query,14.3,Suspicious DNS Query detected on DEV-0166-CORP with elevated correlation to deploy security patch.
REC-0487,DEV-0166,CASE-0487,Anomalous Process,6.4,Anomalous Process detected on DEV-0166-CORP with elevated correlation to deploy security patch.
REC-0343,DEV-0126,CASE-0343,Data Exfiltration Pattern,26.7,Data Exfiltration Pattern detected on DEV-0126-CORP with elevated correlation to deploy security patch.
REC-0343,DEV-0126,CASE-0343,Failed Logins,21.0,Failed Logins detected on DEV-0126-CORP with elevated correlation to deploy security patch.
REC-0343,DEV-0126,CASE-0343,Suspicious DNS Query,0.6,Suspicious DNS Query detected on DEV-0126-CORP with elevated correlation to deploy security patch.
REC-0343,DEV-0126,CASE-0343,Patch Violation,18.7,Patch Violation detected on DEV-0126-CORP with elevated correlation to deploy security patch.
REC-0343,DEV-0126,CASE-0343,Privilege Escalation,33.1,Privilege Escalation detected on DEV-0126-CORP with elevated correlation to deploy security patch.
REC-0774,DEV-0049,CASE-0774,Privilege Escalation,70.1,Privilege Escalation detected on DEV-0049-CORP with elevated correlation to monitor device activity.
REC-0774,DEV-0049,CASE-0774,Malware Signature,18.4,Malware Signature detected on DEV-0049-CORP with elevated correlation to monitor device activity.
REC-0774,DEV-0049,CASE-0774,Anomalous Process,11.5,Anomalous Process detected on DEV-0049-CORP with elevated correlation to monitor device activity.
REC-0037,DEV-0122,CASE-0037,Malware Signature,2.6,Malware Signature detected on DEV-0122-CORP with elevated correlation to quarantine device.
REC-0037,DEV-0122,CASE-0037,Network Activity,20.8,Network Activity detected on DEV-0122-CORP with elevated correlation to quarantine device.
REC-0037,DEV-0122,CASE-0037,Data Exfiltration Pattern,9.7,Data Exfiltration Pattern detected on DEV-0122-CORP with elevated correlation to quarantine device.
REC-0037,DEV-0122,CASE-0037,Patch Violation,29.3,Patch Violation detected on DEV-0122-CORP with elevated correlation to quarantine device.
REC-0037,DEV-0122,CASE-0037,Suspicious DNS Query,37.6,Suspicious DNS Query detected on DEV-0122-CORP with elevated correlation to quarantine device.
REC-0973,DEV-0027,CASE-0973,Patch Violation,66.0,Patch Violation detected on DEV-0027-CORP with elevated correlation to revoke admin credentials.
REC-0973,DEV-0027,CASE-0973,Network Activity,10.7,Network Activity detected on DEV-0027-CORP with elevated correlation to revoke admin credentials.
REC-0973,DEV-0027,CASE-0973,Malware Signature,2.4,Malware Signature detected on DEV-0027-CORP with elevated correlation to revoke admin credentials.
REC-0973,DEV-0027,CASE-0973,Anomalous Process,2.3,Anomalous Process detected on DEV-0027-CORP with elevated correlation to revoke admin credentials.
REC-0973,DEV-0027,CASE-0973,Failed Logins,18.5,Failed Logins detected on DEV-0027-CORP with elevated correlation to revoke admin credentials.
REC-0113,DEV-0156,CASE-0113,Network Activity,17.4,Network Activity detected on DEV-0156-CORP with elevated correlation to revoke admin credentials.
REC-0113,DEV-0156,CASE-0113,Malware Signature,13.7,Malware Signature detected on DEV-0156-CORP with elevated correlation to revoke admin credentials.
REC-0113,DEV-0156,CASE-0113,Failed Logins,51.3,Failed Logins detected on DEV-0156-CORP with elevated correlation to revoke admin credentials.
REC-0113,DEV-0156,CASE-0113,Data Exfiltration Pattern,17.6,Data Exfiltration Pattern detected on DEV-0156-CORP with elevated correlation to revoke admin credentials.
REC-0688,DEV-0009,CASE-0688,Network Activity,15.4,Network Activity detected on DEV-0009-CORP with elevated correlation to isolate endpoint.
REC-0688,DEV-0009,CASE-0688,Anomalous Process,35.6,Anomalous Process detected on DEV-0009-CORP with elevated correlation to isolate endpoint.
REC-0688,DEV-0009,CASE-0688,Failed Logins,49.0,Failed Logins detected on DEV-0009-CORP with elevated correlation to isolate endpoint.
REC-0232,DEV-0183,CASE-0232,Privilege Escalation,17.7,Privilege Escalation detected on DEV-0183-CORP with elevated correlation to revoke admin credentials.
REC-0232,DEV-0183,CASE-0232,Anomalous Process,5.8,Anomalous Process detected on DEV-0183-CORP with elevated correlation to revoke admin credentials.
REC-0232,DEV-0183,CASE-0232,Suspicious DNS Query,21.3,Suspicious DNS Query detected on DEV-0183-CORP with elevated correlation to revoke admin credentials.
REC-0232,DEV-0183,CASE-0232,Malware Signature,33.8,Malware Signature detected on DEV-0183-CORP with elevated correlation to revoke admin credentials.
REC-0232,DEV-0183,CASE-0232,Patch Violation,21.4,Patch Violation detected on DEV-0183-CORP with elevated correlation to revoke admin credentials.
REC-0814,DEV-0193,CASE-0814,Patch Violation,53.3,Patch Violation detected on DEV-0193-CORP with elevated correlation to force password reset.
REC-0814,DEV-0193,CASE-0814,Malware Signature,3.5,Malware Signature detected on DEV-0193-CORP with elevated correlation to force password reset.
REC-0814,DEV-0193,CASE-0814,Failed Logins,40.0,Failed Logins detected on DEV-0193-CORP with elevated correlation to force password reset.
REC-0814,DEV-0193,CASE-0814,Suspicious DNS Query,3.2,Suspicious DNS Query detected on DEV-0193-CORP with elevated correlation to force password reset.
REC-0905,DEV-0102,CASE-0905,Privilege Escalation,8.0,Privilege Escalation detected on DEV-0102-CORP with elevated correlation to isolate endpoint.
REC-0905,DEV-0102,CASE-0905,Anomalous Process,13.6,Anomalous Process detected on DEV-0102-CORP with elevated correlation to isolate endpoint.
REC-0905,DEV-0102,CASE-0905,Network Activity,62.2,Network Activity detected on DEV-0102-CORP with elevated correlation to isolate endpoint.
REC-0905,DEV-0102,CASE-0905,Data Exfiltration Pattern,16.2,Data Exfiltration Pattern detected on DEV-0102-CORP with elevated correlation to isolate endpoint.
REC-0547,DEV-0165,CASE-0547,Anomalous Process,17.4,Anomalous Process detected on DEV-0165-CORP with elevated correlation to restrict network access.
REC-0547,DEV-0165,CASE-0547,Failed Logins,24.1,Failed Logins detected on DEV-0165-CORP with elevated correlation to restrict network access.
REC-0547,DEV-0165,CASE-0547,Patch Violation,4.6,Patch Violation detected on DEV-0165-CORP with elevated correlation to restrict network access.
REC-0547,DEV-0165,CASE-0547,Network Activity,26.1,Network Activity detected on DEV-0165-CORP with elevated correlation to restrict network access.
REC-0547,DEV-0165,CASE-0547,Data Exfiltration Pattern,27.8,Data Exfiltration Pattern detected on DEV-0165-CORP with elevated correlation to restrict network access.
REC-0542,DEV-0242,CASE-0542,Suspicious DNS Query,3.8,Suspicious DNS Query detected on DEV-0242-CORP with elevated correlation to isolate endpoint.
REC-0542,DEV-0242,CASE-0542,Data Exfiltration Pattern,56.4,Data Exfiltration Pattern detected on DEV-0242-CORP with elevated correlation to isolate endpoint.
REC-0542,DEV-0242,CASE-0542,Failed Logins,32.7,Failed Logins detected on DEV-0242-CORP with elevated correlation to isolate endpoint.
REC-0542,DEV-0242,CASE-0542,Patch Violation,7.1,Patch Violation detected on DEV-0242-CORP with elevated correlation to isolate endpoint.
REC-0302,DEV-0209,CASE-0302,Network Activity,11.9,Network Activity detected on DEV-0209-CORP with elevated correlation to isolate endpoint.
REC-0302,DEV-0209,CASE-0302,Suspicious DNS Query,16.5,Suspicious DNS Query detected on DEV-0209-CORP with elevated correlation to isolate endpoint.
REC-0302,DEV-0209,CASE-0302,Failed Logins,50.0,Failed Logins detected on DEV-0209-CORP with elevated correlation to isolate endpoint.
REC-0302,DEV-0209,CASE-0302,Data Exfiltration Pattern,21.6,Data Exfiltration Pattern detected on DEV-0209-CORP with elevated correlation to isolate endpoint.
REC-0516,DEV-0015,CASE-0516,Data Exfiltration Pattern,3.8,Data Exfiltration Pattern detected on DEV-0015-CORP with elevated correlation to revoke admin credentials.
REC-0516,DEV-0015,CASE-0516,Anomalous Process,13.0,Anomalous Process detected on DEV-0015-CORP with elevated correlation to revoke admin credentials.
REC-0516,DEV-0015,CASE-0516,Network Activity,83.2,Network Activity detected on DEV-0015-CORP with elevated correlation to revoke admin credentials.
REC-0265,DEV-0043,CASE-0265,Data Exfiltration Pattern,9.9,Data Exfiltration Pattern detected on DEV-0043-CORP with elevated correlation to isolate endpoint.
REC-0265,DEV-0043,CASE-0265,Privilege Escalation,81.4,Privilege Escalation detected on DEV-0043-CORP with elevated correlation to isolate endpoint.
REC-0265,DEV-0043,CASE-0265,Patch Violation,0.3,Patch Violation detected on DEV-0043-CORP with elevated correlation to isolate endpoint.
REC-0265,DEV-0043,CASE-0265,Malware Signature,8.5,Malware Signature detected on DEV-0043-CORP with elevated correlation to isolate endpoint.
REC-0631,DEV-0236,CASE-0631,Network Activity,13.6,Network Activity detected on DEV-0236-CORP with elevated correlation to force password reset.
REC-0631,DEV-0236,CASE-0631,Patch Violation,55.4,Patch Violation detected on DEV-0236-CORP with elevated correlation to force password reset.
REC-0631,DEV-0236,CASE-0631,Privilege Escalation,31.0,Privilege Escalation detected on DEV-0236-CORP with elevated correlation to force password reset.
REC-0533,DEV-0227,CASE-0533,Anomalous Process,6.3,Anomalous Process detected on DEV-0227-CORP with elevated correlation to isolate endpoint.
REC-0533,DEV-0227,CASE-0533,Suspicious DNS Query,31.5,Suspicious DNS Query detected on DEV-0227-CORP with elevated correlation to isolate endpoint.
REC-0533,DEV-0227,CASE-0533,Failed Logins,53.7,Failed Logins detected on DEV-0227-CORP with elevated correlation to isolate endpoint.
REC-0533,DEV-0227,CASE-0533,Malware Signature,8.4,Malware Signature detected on DEV-0227-CORP with elevated correlation to isolate endpoint.
REC-0895,DEV-0148,CASE-0895,Anomalous Process,65.9,Anomalous Process detected on DEV-0148-CORP with elevated correlation to quarantine device.
REC-0895,DEV-0148,CASE-0895,Suspicious DNS Query,24.4,Suspicious DNS Query detected on DEV-0148-CORP with elevated correlation to quarantine device.
REC-0895,DEV-0148,CASE-0895,Failed Logins,9.7,Failed Logins detected on DEV-0148-CORP with elevated correlation to quarantine device.
REC-0227,DEV-0202,CASE-0227,Failed Logins,4.6,Failed Logins detected on DEV-0202-CORP with elevated correlation to force password reset.
REC-0227,DEV-0202,CASE-0227,Patch Violation,2.8,Patch Violation detected on DEV-0202-CORP with elevated correlation to force password reset.
REC-0227,DEV-0202,CASE-0227,Anomalous Process,4.1,Anomalous Process detected on DEV-0202-CORP with elevated correlation to force password reset.
REC-0227,DEV-0202,CASE-0227,Malware Signature,28.7,Malware Signature detected on DEV-0202-CORP with elevated correlation to force password reset.
REC-0227,DEV-0202,CASE-0227,Privilege Escalation,59.8,Privilege Escalation detected on DEV-0202-CORP with elevated correlation to force password reset.
REC-0779,DEV-0219,CASE-0779,Anomalous Process,74.6,Anomalous Process detected on DEV-0219-CORP with elevated correlation to quarantine device.
REC-0779,DEV-0219,CASE-0779,Network Activity,4.7,Network Activity detected on DEV-0219-CORP with elevated correlation to quarantine device.
REC-0779,DEV-0219,CASE-0779,Data Exfiltration Pattern,20.6,Data Exfiltration Pattern detected on DEV-0219-CORP with elevated correlation to quarantine device.
REC-0907,DEV-0093,CASE-0907,Failed Logins,6.9,Failed Logins detected on DEV-0093-CORP with elevated correlation to restrict network access.
REC-0907,DEV-0093,CASE-0907,Malware Signature,37.1,Malware Signature detected on DEV-0093-CORP with elevated correlation to restrict network access.
REC-0907,DEV-0093,CASE-0907,Privilege Escalation,56.1,Privilege Escalation detected on DEV-0093-CORP with elevated correlation to restrict network access.
REC-0568,DEV-0138,CASE-0568,Failed Logins,9.0,Failed Logins detected on DEV-0138-CORP with elevated correlation to force password reset.
REC-0568,DEV-0138,CASE-0568,Network Activity,46.7,Network Activity detected on DEV-0138-CORP with elevated correlation to force password reset.
REC-0568,DEV-0138,CASE-0568,Suspicious DNS Query,23.9,Suspicious DNS Query detected on DEV-0138-CORP with elevated correlation to force password reset.
REC-0568,DEV-0138,CASE-0568,Malware Signature,4.9,Malware Signature detected on DEV-0138-CORP with elevated correlation to force password reset.
REC-0568,DEV-0138,CASE-0568,Privilege Escalation,15.5,Privilege Escalation detected on DEV-0138-CORP with elevated correlation to force password reset.
REC-0733,DEV-0021,CASE-0733,Malware Signature,9.2,Malware Signature detected on DEV-0021-CORP with elevated correlation to escalate to human review.
REC-0733,DEV-0021,CASE-0733,Patch Violation,18.1,Patch Violation detected on DEV-0021-CORP with elevated correlation to escalate to human review.
REC-0733,DEV-0021,CASE-0733,Data Exfiltration Pattern,71.7,Data Exfiltration Pattern detected on DEV-0021-CORP with elevated correlation to escalate to human review.
REC-0733,DEV-0021,CASE-0733,Anomalous Process,1.0,Anomalous Process detected on DEV-0021-CORP with elevated correlation to escalate to human review.
REC-0550,DEV-0002,CASE-0550,Malware Signature,58.2,Malware Signature detected on DEV-0002-CORP with elevated correlation to escalate to human review.
REC-0550,DEV-0002,CASE-0550,Failed Logins,19.0,Failed Logins detected on DEV-0002-CORP with elevated correlation to escalate to human review.
REC-0550,DEV-0002,CASE-0550,Patch Violation,22.8,Patch Violation detected on DEV-0002-CORP with elevated correlation to escalate to human review.
REC-0057,DEV-0192,CASE-0057,Patch Violation,47.0,Patch Violation detected on DEV-0192-CORP with elevated correlation to quarantine device.
REC-0057,DEV-0192,CASE-0057,Network Activity,0.2,Network Activity detected on DEV-0192-CORP with elevated correlation to quarantine device.
REC-0057,DEV-0192,CASE-0057,Failed Logins,28.1,Failed Logins detected on DEV-0192-CORP with elevated correlation to quarantine device.
REC-0057,DEV-0192,CASE-0057,Anomalous Process,9.2,Anomalous Process detected on DEV-0192-CORP with elevated correlation to quarantine device.
REC-0057,DEV-0192,CASE-0057,Malware Signature,15.4,Malware Signature detected on DEV-0192-CORP with elevated correlation to quarantine device.
REC-0752,DEV-0249,CASE-0752,Data Exfiltration Pattern,0.1,Data Exfiltration Pattern detected on DEV-0249-CORP with elevated correlation to quarantine device.
REC-0752,DEV-0249,CASE-0752,Network Activity,36.9,Network Activity detected on DEV-0249-CORP with elevated correlation to quarantine device.
REC-0752,DEV-0249,CASE-0752,Patch Violation,24.5,Patch Violation detected on DEV-0249-CORP with elevated correlation to quarantine device.
REC-0752,DEV-0249,CASE-0752,Anomalous Process,1.1,Anomalous Process detected on DEV-0249-CORP with elevated correlation to quarantine device.
REC-0752,DEV-0249,CASE-0752,Failed Logins,37.4,Failed Logins detected on DEV-0249-CORP with elevated correlation to quarantine device.
REC-0579,DEV-0029,CASE-0579,Anomalous Process,23.1,Anomalous Process detected on DEV-0029-CORP with elevated correlation to deploy security patch.
REC-0579,DEV-0029,CASE-0579,Data Exfiltration Pattern,23.5,Data Exfiltration Pattern detected on DEV-0029-CORP with elevated correlation to deploy security patch.
REC-0579,DEV-0029,CASE-0579,Failed Logins,42.2,Failed Logins detected on DEV-0029-CORP with elevated correlation to deploy security patch.
REC-0579,DEV-0029,CASE-0579,Malware Signature,11.2,Malware Signature detected on DEV-0029-CORP with elevated correlation to deploy security patch.
REC-0194,DEV-0215,CASE-0194,Failed Logins,31.2,Failed Logins detected on DEV-0215-CORP with elevated correlation to monitor device activity.
REC-0194,DEV-0215,CASE-0194,Anomalous Process,10.9,Anomalous Process detected on DEV-0215-CORP with elevated correlation to monitor device activity.
REC-0194,DEV-0215,CASE-0194,Malware Signature,3.2,Malware Signature detected on DEV-0215-CORP with elevated correlation to monitor device activity.
REC-0194,DEV-0215,CASE-0194,Data Exfiltration Pattern,6.0,Data Exfiltration Pattern detected on DEV-0215-CORP with elevated correlation to monitor device activity.
REC-0194,DEV-0215,CASE-0194,Suspicious DNS Query,48.8,Suspicious DNS Query detected on DEV-0215-CORP with elevated correlation to monitor device activity.
REC-0981,DEV-0138,CASE-0981,Data Exfiltration Pattern,28.3,Data Exfiltration Pattern detected on DEV-0138-CORP with elevated correlation to isolate endpoint.
REC-0981,DEV-0138,CASE-0981,Network Activity,23.5,Network Activity detected on DEV-0138-CORP with elevated correlation to isolate endpoint.
REC-0981,DEV-0138,CASE-0981,Failed Logins,33.5,Failed Logins detected on DEV-0138-CORP with elevated correlation to isolate endpoint.
REC-0981,DEV-0138,CASE-0981,Malware Signature,10.2,Malware Signature detected on DEV-0138-CORP with elevated correlation to isolate endpoint.
REC-0981,DEV-0138,CASE-0981,Patch Violation,4.5,Patch Violation detected on DEV-0138-CORP with elevated correlation to isolate endpoint.
REC-0965,DEV-0003,CASE-0965,Suspicious DNS Query,51.5,Suspicious DNS Query detected on DEV-0003-CORP with elevated correlation to revoke admin credentials.
REC-0965,DEV-0003,CASE-0965,Malware Signature,41.9,Malware Signature detected on DEV-0003-CORP with elevated correlation to revoke admin credentials.
REC-0965,DEV-0003,CASE-0965,Data Exfiltration Pattern,6.7,Data Exfiltration Pattern detected on DEV-0003-CORP with elevated correlation to revoke admin credentials.
REC-0072,DEV-0237,CASE-0072,Malware Signature,4.2,Malware Signature detected on DEV-0237-CORP with elevated correlation to quarantine device.
REC-0072,DEV-0237,CASE-0072,Data Exfiltration Pattern,38.0,Data Exfiltration Pattern detected on DEV-0237-CORP with elevated correlation to quarantine device.
REC-0072,DEV-0237,CASE-0072,Privilege Escalation,10.4,Privilege Escalation detected on DEV-0237-CORP with elevated correlation to quarantine device.
REC-0072,DEV-0237,CASE-0072,Failed Logins,47.4,Failed Logins detected on DEV-0237-CORP with elevated correlation to quarantine device.
REC-0066,DEV-0124,CASE-0066,Malware Signature,16.0,Malware Signature detected on DEV-0124-CORP with elevated correlation to restrict network access.
REC-0066,DEV-0124,CASE-0066,Suspicious DNS Query,4.7,Suspicious DNS Query detected on DEV-0124-CORP with elevated correlation to restrict network access.
REC-0066,DEV-0124,CASE-0066,Network Activity,9.7,Network Activity detected on DEV-0124-CORP with elevated correlation to restrict network access.
REC-0066,DEV-0124,CASE-0066,Anomalous Process,69.6,Anomalous Process detected on DEV-0124-CORP with elevated correlation to restrict network access.
REC-0167,DEV-0244,CASE-0167,Network Activity,15.2,Network Activity detected on DEV-0244-CORP with elevated correlation to revoke admin credentials.
REC-0167,DEV-0244,CASE-0167,Malware Signature,33.0,Malware Signature detected on DEV-0244-CORP with elevated correlation to revoke admin credentials.
REC-0167,DEV-0244,CASE-0167,Data Exfiltration Pattern,51.8,Data Exfiltration Pattern detected on DEV-0244-CORP with elevated correlation to revoke admin credentials.
REC-0303,DEV-0124,CASE-0303,Data Exfiltration Pattern,10.3,Data Exfiltration Pattern detected on DEV-0124-CORP with elevated correlation to restrict network access.
REC-0303,DEV-0124,CASE-0303,Network Activity,25.3,Network Activity detected on DEV-0124-CORP with elevated correlation to restrict network access.
REC-0303,DEV-0124,CASE-0303,Failed Logins,1.5,Failed Logins detected on DEV-0124-CORP with elevated correlation to restrict network access.
REC-0303,DEV-0124,CASE-0303,Malware Signature,54.3,Malware Signature detected on DEV-0124-CORP with elevated correlation to restrict network access.
REC-0303,DEV-0124,CASE-0303,Suspicious DNS Query,8.7,Suspicious DNS Query detected on DEV-0124-CORP with elevated correlation to restrict network access.
