recommendation_id,device_id,case_id,risk_level,requires_evidence_review,requires_impact_review,requires_written_justification
REC-0065,DEV-0001,CASE-0065,Medium,True,False,False
REC-0066,DEV-0124,CASE-0066,Low,False,False,False
REC-0067,DEV-0051,CASE-0067,Medium,True,False,False
REC-0068,DEV-0161,CASE-0068,High,True,True,False
REC-0069,DEV-0166,CASE-0069,Medium,True,False,False
REC-0070,DEV-0009,CASE-0070,Medium,True,False,False
REC-0071,DEV-0100,CASE-0071,Medium,True,False,False
REC-0072,DEV-0237,CASE-0072,Medium,True,False,False
REC-0073,DEV-0011,CASE-0073,High,True,True,False
REC-0074,DEV-0109,CASE-0074,High,True,True,False
REC-0075,DEV-0222,CASE-0075,Critical,True,True,True
REC-0076,DEV-0200,CASE-0076,High,True,True,False
REC-0077,DEV-0137,CASE-0077,High,True,True,False
REC-0078,DEV-0098,CASE-0078,Low,False,False,False
REC-0079,DEV-0108,CASE-0079,High,True,True,False
REC-0080,DEV-0245,CASE-0080,Medium,True,False,False
REC-0081,DEV-0146,CASE-0081,High,True,True,False
REC-0082,DEV-0077,CASE-0082,Low,False,False,False
REC-0083,DEV-0047,CASE-0083,High,True,True,False
REC-0084,DEV-0142,CASE-0084,Low,False,False,False
REC-0085,DEV-0226,CASE-0085,Medium,True,False,False
REC-0086,DEV-0067,CASE-0086,High,True,True,False
REC-0087,DEV-0155,CASE-0087,Medium,True,False,False
REC-0088,DEV-0039,CASE-0088,High,True,True,False
REC-0089,DEV-0156,CASE-0089,Medium,True,False,False
REC-0090,DEV-0014,CASE-0090,Low,False,False,False
REC-0091,DEV-0226,CASE-0091,Low,False,False,False
REC-0092,DEV-0092,CASE-0092,Medium,True,False,False
REC-0093,DEV-0015,CASE-0093,Medium,True,False,False
REC-0094,DEV-0148,CASE-0094,Low,False,False,False
REC-0095,DEV-0205,CASE-0095,High,True,True,False
REC-0096,DEV-0145,CASE-0096,Critical,True,True,True
REC-0097,DEV-0150,CASE-0097,High,True,True,False
REC-0098,DEV-0041,CASE-0098,Medium,True,False,False
REC-0099,DEV-0188,CASE-0099,Medium,True,False,False
REC-0100,DEV-0082,CASE-0100,Critical,True,True,True
REC-0101,DEV-0186,CASE-0101,Medium,True,False,False
REC-0102,DEV-0079,CASE-0102,Low,False,False,False
REC-0103,DEV-0172,CASE-0103,High,True,True,False
REC-0104,DEV-0066,CASE-0104,Low,False,False,False
REC-0105,DEV-0133,CASE-0105,High,True,True,False
REC-0106,DEV-0148,CASE-0106,High,True,True,False
REC-0107,DEV-0242,CASE-0107,Low,False,False,False
REC-0108,DEV-0234,CASE-0108,Medium,True,False,False
REC-0109,DEV-0114,CASE-0109,High,True,True,False
REC-0110,DEV-0220,CASE-0110,High,True,True,False
REC-0111,DEV-0198,CASE-0111,Low,False,False,False
REC-0112,DEV-0060,CASE-0112,Medium,True,False,False
REC-0113,DEV-0156,CASE-0113,Critical,True,True,True
REC-0114,DEV-0151,CASE-0114,Medium,True,False,False
REC-0115,DEV-0239,CASE-0115,Medium,True,False,False
REC-0116,DEV-0189,CASE-0116,High,True,True,False
REC-0117,DEV-0009,CASE-0117,Medium,True,False,False
REC-0118,DEV-0147,CASE-0118,Medium,True,False,False
REC-0119,DEV-0201,CASE-0119,High,True,True,False
REC-0120,DEV-0218,CASE-0120,High,True,True,False
REC-0121,DEV-0130,CASE-0121,Medium,True,False,False
REC-0122,DEV-0098,CASE-0122,Medium,True,False,False
REC-0123,DEV-0212,CASE-0123,Medium,True,False,False
REC-0124,DEV-0204,CASE-0124,Low,False,False,False
REC-0125,DEV-0210,CASE-0125,Medium,True,False,False
REC-0126,DEV-0206,CASE-0126,Low,False,False,False
REC-0127,DEV-0033,CASE-0127,Low,False,False,False
REC-0128,DEV-0079,CASE-0128,Low,False,False,False
REC-0129,DEV-0243,CASE-0129,Medium,True,False,False
REC-0130,DEV-0080,CASE-0130,Medium,True,False,False
REC-0131,DEV-0062,CASE-0131,Medium,True,False,False
REC-0132,DEV-0215,CASE-0132,High,True,True,False
REC-0133,DEV-0196,CASE-0133,Low,False,False,False
REC-0134,DEV-0129,CASE-0134,Low,False,False,False
REC-0135,DEV-0160,CASE-0135,Low,False,False,False
REC-0136,DEV-0180,CASE-0136,Medium,True,False,False
REC-0137,DEV-0195,CASE-0137,High,True,True,False
REC-0138,DEV-0160,CASE-0138,Medium,True,False,False
REC-0139,DEV-0032,CASE-0139,Medium,True,False,False
REC-0140,DEV-0235,CASE-0140,High,True,True,False
REC-0141,DEV-0189,CASE-0141,Medium,True,False,False
REC-0142,DEV-0003,CASE-0142,Low,False,False,False
REC-0143,DEV-0143,CASE-0143,Low,False,False,False
REC-0144,DEV-0024,CASE-0144,High,True,True,False
REC-0145,DEV-0055,CASE-0145,Medium,True,False,False
REC-0146,DEV-0100,CASE-0146,Medium,True,False,False
REC-0147,DEV-0145,CASE-0147,Medium,True,False,False
REC-0148,DEV-0081,CASE-0148,Low,False,False,False
REC-0149,DEV-0126,CASE-0149,Medium,True,False,False
REC-0150,DEV-0086,CASE-0150,High,True,True,False
REC-0151,DEV-0021,CASE-0151,Medium,True,False,False
REC-0152,DEV-0057,CASE-0152,Medium,True,False,False
REC-0153,DEV-0127,CASE-0153,High,True,True,False
REC-0154,DEV-0074,CASE-0154,High,True,True,False
REC-0155,DEV-0049,CASE-0155,High,True,True,False
REC-0156,DEV-0058,CASE-0156,Medium,True,False,False
REC-0157,DEV-0147,CASE-0157,Medium,True,False,False
REC-0158,DEV-0060,CASE-0158,Medium,True,False,False
REC-0159,DEV-0107,CASE-0159,High,True,True,False
REC-0160,DEV-0004,CASE-0160,Low,False,False,False
REC-0161,DEV-0116,CASE-0161,Low,False,False,False
REC-0162,DEV-0156,CASE-0162,Low,False,False,False
REC-0163,DEV-0033,CASE-0163,High,True,True,False
REC-0164,DEV-0047,CASE-0164,High,True,True,False
REC-0165,DEV-0219,CASE-0165,Medium,True,False,False
REC-0166,DEV-0176,CASE-0166,Medium,True,False,False
REC-0167,DEV-0244,CASE-0167,Critical,True,True,True
REC-0168,DEV-0196,CASE-0168,Critical,True,True,True
REC-0169,DEV-0064,CASE-0169,Low,False,False,False
REC-0170,DEV-0045,CASE-0170,Medium,True,False,False
REC-0171,DEV-0179,CASE-0171,High,True,True,False
REC-0172,DEV-0061,CASE-0172,Medium,True,False,False
REC-0173,DEV-0189,CASE-0173,Critical,True,True,True
REC-0174,DEV-0088,CASE-0174,Medium,True,False,False
REC-0175,DEV-0189,CASE-0175,High,True,True,False
REC-0176,DEV-0068,CASE-0176,High,True,True,False
REC-0177,DEV-0142,CASE-0177,Medium,True,False,False
REC-0178,DEV-0163,CASE-0178,Medium,True,False,False
REC-0179,DEV-0099,CASE-0179,Critical,True,True,True
REC-0180,DEV-0118,CASE-0180,Medium,True,False,False
REC-0181,DEV-0220,CASE-0181,Critical,True,True,True
REC-0182,DEV-0158,CASE-0182,Critical,True,True,True
REC-0183,DEV-0170,CASE-0183,High,True,True,False
REC-0184,DEV-0233,CASE-0184,Medium,True,False,False
REC-0185,DEV-0243,CASE-0185,High,True,True,False
REC-0186,DEV-0028,CASE-0186,Low,False,False,False
REC-0187,DEV-0209,CASE-0187,Medium,True,False,False
REC-0188,DEV-0216,CASE-0188,Medium,True,False,False
REC-0189,DEV-0048,CASE-0189,Low,False,False,False
REC-0190,DEV-0093,CASE-0190,Critical,True,True,True
REC-0191,DEV-0026,CASE-0191,Low,False,False,False
REC-0192,DEV-0191,CASE-0192,Critical,True,True,True
REC-0193,DEV-0061,CASE-0193,Critical,True,True,True
REC-0194,DEV-0215,CASE-0194,Low,False,False,False
REC-0195,DEV-0081,CASE-0195,Medium,True,False,False
REC-0196,DEV-0215,CASE-0196,Medium,True,False,False
REC-0197,DEV-0008,CASE-0197,Critical,True,True,True
REC-0198,DEV-0083,CASE-0198,Low,False,False,False
REC-0199,DEV-0235,CASE-0199,Medium,True,False,False
REC-0200,DEV-0103,CASE-0200,Medium,True,False,False
REC-0201,DEV-0137,CASE-0201,Medium,True,False,False
REC-0202,DEV-0236,CASE-0202,Critical,True,True,True
REC-0203,DEV-0002,CASE-0203,Critical,True,True,True
REC-0204,DEV-0084,CASE-0204,Medium,True,False,False
REC-0205,DEV-0033,CASE-0205,Medium,True,False,False
REC-0206,DEV-0214,CASE-0206,High,True,True,False
REC-0207,DEV-0096,CASE-0207,Medium,True,False,False
REC-0208,DEV-0200,CASE-0208,Medium,True,False,False
REC-0209,DEV-0084,CASE-0209,Medium,True,False,False
REC-0210,DEV-0141,CASE-0210,Medium,True,False,False
REC-0211,DEV-0068,CASE-0211,Low,False,False,False
REC-0212,DEV-0004,CASE-0212,Low,False,False,False
REC-0213,DEV-0171,CASE-0213,Medium,True,False,False
REC-0214,DEV-0055,CASE-0214,Medium,True,False,False
REC-0215,DEV-0160,CASE-0215,Medium,True,False,False
REC-0216,DEV-0091,CASE-0216,Medium,True,False,False
REC-0217,DEV-0221,CASE-0217,Medium,True,False,False
REC-0218,DEV-0106,CASE-0218,Low,False,False,False
REC-0219,DEV-0027,CASE-0219,Low,False,False,False
REC-0220,DEV-0169,CASE-0220,Critical,True,True,True
REC-0221,DEV-0243,CASE-0221,Medium,True,False,False
REC-0222,DEV-0016,CASE-0222,Medium,True,False,False
REC-0223,DEV-0048,CASE-0223,High,True,True,False
REC-0224,DEV-0122,CASE-0224,Medium,True,False,False
REC-0225,DEV-0192,CASE-0225,Medium,True,False,False
REC-0226,DEV-0216,CASE-0226,Medium,True,False,False
REC-0227,DEV-0202,CASE-0227,Low,False,False,False
REC-0228,DEV-0210,CASE-0228,High,True,True,False
REC-0229,DEV-0062,CASE-0229,Critical,True,True,True
REC-0230,DEV-0221,CASE-0230,Critical,True,True,True
REC-0231,DEV-0082,CASE-0231,Medium,True,False,False
REC-0232,DEV-0183,CASE-0232,Critical,True,True,True
REC-0233,DEV-0073,CASE-0233,Medium,True,False,False
REC-0234,DEV-0149,CASE-0234,High,True,True,False
REC-0235,DEV-0106,CASE-0235,Medium,True,False,False
REC-0236,DEV-0154,CASE-0236,Low,False,False,False
REC-0237,DEV-0176,CASE-0237,Low,False,False,False
REC-0238,DEV-0131,CASE-0238,Medium,True,False,False
REC-0239,DEV-0037,CASE-0239,Medium,True,False,False
REC-0240,DEV-0098,CASE-0240,Medium,True,False,False
REC-0241,DEV-0102,CASE-0241,High,True,True,False
REC-0242,DEV-0056,CASE-0242,Medium,True,False,False
REC-0243,DEV-0039,CASE-0243,High,True,True,False
REC-0244,DEV-0057,CASE-0244,Critical,True,True,True
REC-0245,DEV-0108,CASE-0245,Medium,True,False,False
REC-0246,DEV-0011,CASE-0246,High,True,True,False
REC-0247,DEV-0175,CASE-0247,Medium,True,False,False
REC-0248,DEV-0195,CASE-0248,High,True,True,False
REC-0249,DEV-0156,CASE-0249,Medium,True,False,False
REC-0250,DEV-0015,CASE-0250,Medium,True,False,False
REC-0251,DEV-0049,CASE-0251,Critical,True,True,True
REC-0252,DEV-0116,CASE-0252,Critical,True,True,True
REC-0253,DEV-0101,CASE-0253,Medium,True,False,False
REC-0254,DEV-0215,CASE-0254,Medium,True,False,False
REC-0255,DEV-0130,CASE-0255,Medium,True,False,False
REC-0256,DEV-0166,CASE-0256,Medium,True,False,False
REC-0257,DEV-0028,CASE-0257,High,True,True,False
REC-0258,DEV-0104,CASE-0258,Medium,True,False,False
REC-0259,DEV-0095,CASE-0259,Critical,True,True,True
REC-0260,DEV-0183,CASE-0260,Low,False,False,False
REC-0261,DEV-0153,CASE-0261,High,True,True,False
REC-0262,DEV-0153,CASE-0262,Medium,True,False,False
REC-0263,DEV-0202,CASE-0263,Medium,True,False,False
REC-0264,DEV-0119,CASE-0264,High,True,True,False
REC-0265,DEV-0043,CASE-0265,Critical,True,True,True
REC-0266,DEV-0179,CASE-0266,Critical,True,True,True
REC-0267,DEV-0042,CASE-0267,Low,False,False,False
REC-0268,DEV-0126,CASE-0268,High,True,True,False
REC-0269,DEV-0101,CASE-0269,High,True,True,False
REC-0270,DEV-0128,CASE-0270,High,True,True,False
REC-0271,DEV-0018,CASE-0271,Medium,True,False,False
REC-0272,DEV-0076,CASE-0272,Medium,True,False,False
REC-0273,DEV-0211,CASE-0273,Medium,True,False,False
REC-0274,DEV-0096,CASE-0274,Low,False,False,False
REC-0275,DEV-0031,CASE-0275,High,True,True,False
REC-0276,DEV-0174,CASE-0276,Medium,True,False,False
REC-0277,DEV-0171,CASE-0277,Critical,True,True,True
REC-0278,DEV-0137,CASE-0278,Low,False,False,False
REC-0279,DEV-0115,CASE-0279,Medium,True,False,False
REC-0280,DEV-0200,CASE-0280,Medium,True,False,False
REC-0281,DEV-0038,CASE-0281,Low,False,False,False
REC-0282,DEV-0099,CASE-0282,High,True,True,False
REC-0283,DEV-0111,CASE-0283,High,True,True,False
REC-0284,DEV-0005,CASE-0284,Critical,True,True,True
REC-0285,DEV-0158,CASE-0285,Low,False,False,False
REC-0286,DEV-0216,CASE-0286,Critical,True,True,True
REC-0287,DEV-0089,CASE-0287,Low,False,False,False
REC-0288,DEV-0104,CASE-0288,Critical,True,True,True
REC-0289,DEV-0052,CASE-0289,Critical,True,True,True
REC-0290,DEV-0246,CASE-0290,High,True,True,False
REC-0291,DEV-0060,CASE-0291,Critical,True,True,True
REC-0292,DEV-0206,CASE-0292,Critical,True,True,True
REC-0293,DEV-0061,CASE-0293,Medium,True,False,False
REC-0294,DEV-0190,CASE-0294,High,True,True,False
REC-0295,DEV-0208,CASE-0295,Medium,True,False,False
REC-0296,DEV-0006,CASE-0296,High,True,True,False
REC-0297,DEV-0196,CASE-0297,High,True,True,False
REC-0298,DEV-0225,CASE-0298,Medium,True,False,False
REC-0299,DEV-0094,CASE-0299,Critical,True,True,True
REC-0300,DEV-0210,CASE-0300,Critical,True,True,True
REC-0301,DEV-0231,CASE-0301,Critical,True,True,True
REC-0302,DEV-0209,CASE-0302,High,True,True,False
REC-0303,DEV-0124,CASE-0303,Medium,True,False,False
REC-0304,DEV-0063,CASE-0304,High,True,True,False
REC-0305,DEV-0038,CASE-0305,High,True,True,False
REC-0306,DEV-0137,CASE-0306,High,True,True,False
REC-0307,DEV-0194,CASE-0307,High,True,True,False
REC-0308,DEV-0047,CASE-0308,High,True,True,False
REC-0309,DEV-0113,CASE-0309,Low,False,False,False
REC-0310,DEV-0047,CASE-0310,Critical,True,True,True
REC-0311,DEV-0096,CASE-0311,Low,False,False,False
REC-0312,DEV-0084,CASE-0312,Medium,True,False,False
REC-0313,DEV-0217,CASE-0313,High,True,True,False
REC-0314,DEV-0081,CASE-0314,Medium,True,False,False
REC-0315,DEV-0099,CASE-0315,High,True,True,False
REC-0316,DEV-0212,CASE-0316,High,True,True,False
REC-0317,DEV-0084,CASE-0317,Medium,True,False,False
REC-0318,DEV-0171,CASE-0318,High,True,True,False
REC-0319,DEV-0137,CASE-0319,Critical,True,True,True
REC-0320,DEV-0220,CASE-0320,Low,False,False,False
REC-0321,DEV-0117,CASE-0321,Medium,True,False,False
REC-0322,DEV-0233,CASE-0322,High,True,True,False
REC-0323,DEV-0208,CASE-0323,Critical,True,True,True
REC-0324,DEV-0074,CASE-0324,Medium,True,False,False
REC-0325,DEV-0071,CASE-0325,Medium,True,False,False
REC-0326,DEV-0099,CASE-0326,High,True,True,False
REC-0327,DEV-0222,CASE-0327,High,True,True,False
REC-0328,DEV-0095,CASE-0328,Low,False,False,False
REC-0329,DEV-0002,CASE-0329,Medium,True,False,False
REC-0330,DEV-0113,CASE-0330,Medium,True,False,False
REC-0331,DEV-0150,CASE-0331,Critical,True,True,True
REC-0332,DEV-0006,CASE-0332,High,True,True,False
REC-0333,DEV-0078,CASE-0333,Low,False,False,False
REC-0334,DEV-0012,CASE-0334,Low,False,False,False
REC-0335,DEV-0059,CASE-0335,Critical,True,True,True
REC-0336,DEV-0197,CASE-0336,Critical,True,True,True
REC-0337,DEV-0026,CASE-0337,Low,False,False,False
REC-0338,DEV-0033,CASE-0338,Low,False,False,False
REC-0339,DEV-0188,CASE-0339,Low,False,False,False
REC-0340,DEV-0087,CASE-0340,High,True,True,False
REC-0341,DEV-0031,CASE-0341,High,True,True,False
REC-0342,DEV-0134,CASE-0342,Critical,True,True,True
REC-0343,DEV-0126,CASE-0343,Medium,True,False,False
REC-0344,DEV-0089,CASE-0344,Medium,True,False,False
REC-0345,DEV-0004,CASE-0345,Medium,True,False,False
REC-0346,DEV-0170,CASE-0346,Medium,True,False,False
REC-0347,DEV-0037,CASE-0347,High,True,True,False
REC-0348,DEV-0178,CASE-0348,High,True,True,False
REC-0349,DEV-0188,CASE-0349,High,True,True,False
REC-0350,DEV-0217,CASE-0350,Low,False,False,False
REC-0351,DEV-0152,CASE-0351,Critical,True,True,True
REC-0352,DEV-0021,CASE-0352,Medium,True,False,False
REC-0353,DEV-0246,CASE-0353,High,True,True,False
REC-0354,DEV-0133,CASE-0354,Low,False,False,False
REC-0355,DEV-0027,CASE-0355,Medium,True,False,False
REC-0356,DEV-0190,CASE-0356,High,True,True,False
REC-0357,DEV-0094,CASE-0357,Medium,True,False,False
REC-0358,DEV-0226,CASE-0358,Medium,True,False,False
REC-0359,DEV-0214,CASE-0359,Medium,True,False,False
REC-0360,DEV-0161,CASE-0360,Medium,True,False,False
REC-0361,DEV-0039,CASE-0361,Low,False,False,False
REC-0362,DEV-0068,CASE-0362,Low,False,False,False
REC-0363,DEV-0128,CASE-0363,Critical,True,True,True
REC-0364,DEV-0031,CASE-0364,High,True,True,False
REC-0365,DEV-0052,CASE-0365,Low,False,False,False
REC-0366,DEV-0121,CASE-0366,Low,False,False,False
REC-0367,DEV-0070,CASE-0367,Medium,True,False,False
REC-0368,DEV-0109,CASE-0368,Low,False,False,False
REC-0369,DEV-0097,CASE-0369,Low,False,False,False
REC-0370,DEV-0228,CASE-0370,Medium,True,False,False
REC-0371,DEV-0238,CASE-0371,Medium,True,False,False
REC-0372,DEV-0041,CASE-0372,Critical,True,True,True
REC-0373,DEV-0146,CASE-0373,Low,False,False,False
REC-0374,DEV-0107,CASE-0374,Critical,True,True,True
REC-0375,DEV-0194,CASE-0375,Low,False,False,False
REC-0376,DEV-0152,CASE-0376,Low,False,False,False
REC-0377,DEV-0090,CASE-0377,Medium,True,False,False
REC-0378,DEV-0013,CASE-0378,Medium,True,False,False
REC-0379,DEV-0084,CASE-0379,Low,False,False,False
REC-0380,DEV-0018,CASE-0380,High,True,True,False
REC-0381,DEV-0192,CASE-0381,Low,False,False,False
REC-0382,DEV-0119,CASE-0382,Low,False,False,False
REC-0383,DEV-0082,CASE-0383,Medium,True,False,False
REC-0384,DEV-0228,CASE-0384,High,True,True,False
REC-0385,DEV-0137,CASE-0385,High,True,True,False
REC-0386,DEV-0085,CASE-0386,High,True,True,False
REC-0387,DEV-0226,CASE-0387,Medium,True,False,False
REC-0388,DEV-0110,CASE-0388,High,True,True,False
REC-0389,DEV-0042,CASE-0389,Medium,True,False,False
REC-0390,DEV-0003,CASE-0390,Low,False,False,False
REC-0391,DEV-0151,CASE-0391,Medium,True,False,False
REC-0392,DEV-0240,CASE-0392,High,True,True,False
REC-0393,DEV-0222,CASE-0393,Medium,True,False,False
REC-0394,DEV-0226,CASE-0394,Low,False,False,False
REC-0395,DEV-0121,CASE-0395,High,True,True,False
REC-0396,DEV-0009,CASE-0396,Low,False,False,False
REC-0397,DEV-0098,CASE-0397,Medium,True,False,False
REC-0398,DEV-0201,CASE-0398,Medium,True,False,False
REC-0399,DEV-0027,CASE-0399,Medium,True,False,False
REC-0400,DEV-0084,CASE-0400,Critical,True,True,True
REC-0401,DEV-0109,CASE-0401,High,True,True,False
REC-0402,DEV-0128,CASE-0402,Critical,True,True,True
REC-0403,DEV-0147,CASE-0403,Low,False,False,False
REC-0404,DEV-0238,CASE-0404,Medium,True,False,False
REC-0405,DEV-0021,CASE-0405,High,True,True,False
REC-0406,DEV-0019,CASE-0406,Low,False,False,False
REC-0407,DEV-0081,CASE-0407,Low,False,False,False
REC-0408,DEV-0211,CASE-0408,Medium,True,False,False
REC-0409,DEV-0065,CASE-0409,High,True,True,False
REC-0410,DEV-0072,CASE-0410,Medium,True,False,False
REC-0411,DEV-0004,CASE-0411,Low,False,False,False
REC-0412,DEV-0106,CASE-0412,High,True,True,False
REC-0413,DEV-0198,CASE-0413,Medium,True,False,False
REC-0414,DEV-0076,CASE-0414,Medium,True,False,False
REC-0415,DEV-0187,CASE-0415,Medium,True,False,False
REC-0416,DEV-0249,CASE-0416,Medium,True,False,False
REC-0417,DEV-0237,CASE-0417,Medium,True,False,False
REC-0418,DEV-0067,CASE-0418,Critical,True,True,True
REC-0419,DEV-0125,CASE-0419,High,True,True,False
REC-0420,DEV-0231,CASE-0420,Low,False,False,False
REC-0421,DEV-0002,CASE-0421,Medium,True,False,False
REC-0422,DEV-0053,CASE-0422,High,True,True,False
REC-0423,DEV-0029,CASE-0423,Low,False,False,False
REC-0424,DEV-0159,CASE-0424,High,True,True,False
REC-0425,DEV-0010,CASE-0425,High,True,True,False
REC-0426,DEV-0123,CASE-0426,Critical,True,True,True
REC-0427,DEV-0217,CASE-0427,Low,False,False,False
REC-0428,DEV-0094,CASE-0428,Medium,True,False,False
REC-0429,DEV-0179,CASE-0429,High,True,True,False
REC-0430,DEV-0180,CASE-0430,High,True,True,False
REC-0431,DEV-0117,CASE-0431,Critical,True,True,True
REC-0432,DEV-0059,CASE-0432,Medium,True,False,False
REC-0433,DEV-0234,CASE-0433,Critical,True,True,True
REC-0434,DEV-0032,CASE-0434,Medium,True,False,False
REC-0435,DEV-0100,CASE-0435,High,True,True,False
REC-0436,DEV-0159,CASE-0436,High,True,True,False
REC-0437,DEV-0132,CASE-0437,Medium,True,False,False
REC-0438,DEV-0009,CASE-0438,High,True,True,False
REC-0439,DEV-0106,CASE-0439,Critical,True,True,True
REC-0440,DEV-0044,CASE-0440,Medium,True,False,False
REC-0441,DEV-0068,CASE-0441,Medium,True,False,False
REC-0442,DEV-0106,CASE-0442,Medium,True,False,False
REC-0443,DEV-0049,CASE-0443,Low,False,False,False
REC-0444,DEV-0008,CASE-0444,Low,False,False,False
REC-0445,DEV-0188,CASE-0445,Medium,True,False,False
REC-0446,DEV-0022,CASE-0446,Medium,True,False,False
REC-0447,DEV-0046,CASE-0447,Low,False,False,False
REC-0448,DEV-0022,CASE-0448,Low,False,False,False
REC-0449,DEV-0186,CASE-0449,Medium,True,False,False
REC-0450,DEV-0139,CASE-0450,High,True,True,False
REC-0451,DEV-0247,CASE-0451,Low,False,False,False
REC-0452,DEV-0029,CASE-0452,High,True,True,False
REC-0453,DEV-0247,CASE-0453,Medium,True,False,False
REC-0454,DEV-0099,CASE-0454,Medium,True,False,False
REC-0455,DEV-0103,CASE-0455,Medium,True,False,False
REC-0456,DEV-0051,CASE-0456,Low,False,False,False
REC-0457,DEV-0212,CASE-0457,Medium,True,False,False
REC-0458,DEV-0232,CASE-0458,Medium,True,False,False
REC-0459,DEV-0004,CASE-0459,Medium,True,False,False
REC-0460,DEV-0142,CASE-0460,Medium,True,False,False
REC-0461,DEV-0219,CASE-0461,Low,False,False,False
REC-0462,DEV-0241,CASE-0462,Medium,True,False,False
REC-0463,DEV-0001,CASE-0463,Low,False,False,False
REC-0464,DEV-0240,CASE-0464,High,True,True,False
REC-0465,DEV-0053,CASE-0465,Critical,True,True,True
REC-0466,DEV-0108,CASE-0466,Critical,True,True,True
REC-0467,DEV-0118,CASE-0467,Medium,True,False,False
REC-0468,DEV-0086,CASE-0468,Medium,True,False,False
REC-0469,DEV-0095,CASE-0469,Medium,True,False,False
REC-0470,DEV-0238,CASE-0470,High,True,True,False
REC-0471,DEV-0107,CASE-0471,Critical,True,True,True
REC-0472,DEV-0200,CASE-0472,High,True,True,False
REC-0473,DEV-0242,CASE-0473,Low,False,False,False
REC-0474,DEV-0151,CASE-0474,Low,False,False,False
