limitation_id,recommendation_id,limitation,severity,impact
LIM-00050,REC-0039,Unknown device states,Medium,Device state unclear due to parallel endpoint configuration changes.
LIM-00051,REC-0039,Incomplete logs,Medium,Active Directory auth logs delayed; cannot cross-verify session continuity.
LIM-00052,REC-0040,Incomplete logs,Medium,Active Directory auth logs delayed; cannot cross-verify session continuity.
LIM-00053,REC-0041,Limited historical examples,Low,Rare incident type; pattern not seen in the last 180 days.
LIM-00054,REC-0042,Unknown device states,Medium,Device state unclear due to parallel endpoint configuration changes.
LIM-00055,REC-0043,Delayed event ingestion,Medium,SIEM log pipeline experiencing a 15-minute queue latency.
LIM-00056,REC-0044,Limited historical examples,Low,Rare incident type; pattern not seen in the last 180 days.
LIM-00057,REC-0044,Offline endpoints,Medium,Host is currently unreachable over VPN; cannot run live diagnostics.
LIM-00058,REC-0045,Sparse threat intelligence,Low,IP address reputation has not been categorized by secondary feeds.
LIM-00059,REC-0046,Limited historical examples,Low,Rare incident type; pattern not seen in the last 180 days.
LIM-00060,REC-0047,New device models,Low,Model behavior baseline not fully trained; using general device profiles.
LIM-00061,REC-0047,Limited historical examples,Low,Rare incident type; pattern not seen in the last 180 days.
LIM-00062,REC-0048,Missing telemetry data,High,Device telemetry unavailable for last 6 hours; security health checks degraded.
LIM-00063,REC-0048,Sparse threat intelligence,Low,IP address reputation has not been categorized by secondary feeds.
LIM-00064,REC-0049,Unknown device states,Medium,Device state unclear due to parallel endpoint configuration changes.
LIM-00065,REC-0054,New device models,Low,Model behavior baseline not fully trained; using general device profiles.
LIM-00066,REC-0056,New device models,Low,Model behavior baseline not fully trained; using general device profiles.
LIM-00067,REC-0057,Missing telemetry data,High,Device telemetry unavailable for last 6 hours; security health checks degraded.
LIM-00068,REC-0059,Incomplete logs,Medium,Active Directory auth logs delayed; cannot cross-verify session continuity.
LIM-00069,REC-0059,Offline endpoints,Medium,Host is currently unreachable over VPN; cannot run live diagnostics.
LIM-00070,REC-0060,Limited historical examples,Low,Rare incident type; pattern not seen in the last 180 days.
LIM-00071,REC-0061,Limited historical examples,Low,Rare incident type; pattern not seen in the last 180 days.
LIM-00072,REC-0062,Delayed event ingestion,Medium,SIEM log pipeline experiencing a 15-minute queue latency.
LIM-00073,REC-0064,Limited historical examples,Low,Rare incident type; pattern not seen in the last 180 days.
LIM-00074,REC-0065,Unknown device states,Medium,Device state unclear due to parallel endpoint configuration changes.
LIM-00075,REC-0066,Limited historical examples,Low,Rare incident type; pattern not seen in the last 180 days.
LIM-00076,REC-0067,Incomplete logs,Medium,Active Directory auth logs delayed; cannot cross-verify session continuity.
LIM-00077,REC-0069,Delayed event ingestion,Medium,SIEM log pipeline experiencing a 15-minute queue latency.
LIM-00078,REC-0070,Missing telemetry data,High,Device telemetry unavailable for last 6 hours; security health checks degraded.
LIM-00079,REC-0072,Delayed event ingestion,Medium,SIEM log pipeline experiencing a 15-minute queue latency.
LIM-00080,REC-0073,Unknown device states,Medium,Device state unclear due to parallel endpoint configuration changes.
LIM-00081,REC-0074,Missing telemetry data,High,Device telemetry unavailable for last 6 hours; security health checks degraded.
LIM-00082,REC-0074,Incomplete logs,Medium,Active Directory auth logs delayed; cannot cross-verify session continuity.
LIM-00083,REC-0076,Offline endpoints,Medium,Host is currently unreachable over VPN; cannot run live diagnostics.
LIM-00084,REC-0077,Incomplete logs,Medium,Active Directory auth logs delayed; cannot cross-verify session continuity.
LIM-00085,REC-0078,Incomplete logs,Medium,Active Directory auth logs delayed; cannot cross-verify session continuity.
LIM-00086,REC-0078,Limited historical examples,Low,Rare incident type; pattern not seen in the last 180 days.
LIM-00087,REC-0079,Missing telemetry data,High,Device telemetry unavailable for last 6 hours; security health checks degraded.
LIM-00088,REC-0080,Delayed event ingestion,Medium,SIEM log pipeline experiencing a 15-minute queue latency.
LIM-00089,REC-0080,Missing telemetry data,High,Device telemetry unavailable for last 6 hours; security health checks degraded.
LIM-00090,REC-0081,Incomplete logs,Medium,Active Directory auth logs delayed; cannot cross-verify session continuity.
LIM-00091,REC-0082,Limited historical examples,Low,Rare incident type; pattern not seen in the last 180 days.
LIM-00092,REC-0083,Limited historical examples,Low,Rare incident type; pattern not seen in the last 180 days.
LIM-00093,REC-0083,Unknown device states,Medium,Device state unclear due to parallel endpoint configuration changes.
LIM-00094,REC-0084,Offline endpoints,Medium,Host is currently unreachable over VPN; cannot run live diagnostics.
LIM-00095,REC-0084,Sparse threat intelligence,Low,IP address reputation has not been categorized by secondary feeds.
LIM-00096,REC-0085,Unknown device states,Medium,Device state unclear due to parallel endpoint configuration changes.
LIM-00097,REC-0086,Incomplete logs,Medium,Active Directory auth logs delayed; cannot cross-verify session continuity.
LIM-00098,REC-0086,Sparse threat intelligence,Low,IP address reputation has not been categorized by secondary feeds.
LIM-00099,REC-0089,Unknown device states,Medium,Device state unclear due to parallel endpoint configuration changes.
LIM-00100,REC-0089,Sparse threat intelligence,Low,IP address reputation has not been categorized by secondary feeds.
LIM-00101,REC-0090,New device models,Low,Model behavior baseline not fully trained; using general device profiles.
LIM-00102,REC-0090,Limited historical examples,Low,Rare incident type; pattern not seen in the last 180 days.
LIM-00103,REC-0091,Sparse threat intelligence,Low,IP address reputation has not been categorized by secondary feeds.
LIM-00104,REC-0092,Unknown device states,Medium,Device state unclear due to parallel endpoint configuration changes.
LIM-00105,REC-0093,Offline endpoints,Medium,Host is currently unreachable over VPN; cannot run live diagnostics.
LIM-00106,REC-0093,Limited historical examples,Low,Rare incident type; pattern not seen in the last 180 days.
LIM-00107,REC-0094,Incomplete logs,Medium,Active Directory auth logs delayed; cannot cross-verify session continuity.
LIM-00108,REC-0094,Sparse threat intelligence,Low,IP address reputation has not been categorized by secondary feeds.
LIM-00109,REC-0095,Missing telemetry data,High,Device telemetry unavailable for last 6 hours; security health checks degraded.
LIM-00110,REC-0096,Limited historical examples,Low,Rare incident type; pattern not seen in the last 180 days.
LIM-00111,REC-0097,Delayed event ingestion,Medium,SIEM log pipeline experiencing a 15-minute queue latency.
LIM-00112,REC-0098,Missing telemetry data,High,Device telemetry unavailable for last 6 hours; security health checks degraded.
LIM-00113,REC-0098,Incomplete logs,Medium,Active Directory auth logs delayed; cannot cross-verify session continuity.
LIM-00114,REC-0100,Incomplete logs,Medium,Active Directory auth logs delayed; cannot cross-verify session continuity.
LIM-00115,REC-0100,Unknown device states,Medium,Device state unclear due to parallel endpoint configuration changes.
LIM-00116,REC-0101,Offline endpoints,Medium,Host is currently unreachable over VPN; cannot run live diagnostics.
LIM-00117,REC-0102,Incomplete logs,Medium,Active Directory auth logs delayed; cannot cross-verify session continuity.
LIM-00118,REC-0103,Missing telemetry data,High,Device telemetry unavailable for last 6 hours; security health checks degraded.
LIM-00119,REC-0105,New device models,Low,Model behavior baseline not fully trained; using general device profiles.
LIM-00120,REC-0106,Unknown device states,Medium,Device state unclear due to parallel endpoint configuration changes.
LIM-00121,REC-0107,Missing telemetry data,High,Device telemetry unavailable for last 6 hours; security health checks degraded.
LIM-00122,REC-0108,New device models,Low,Model behavior baseline not fully trained; using general device profiles.
LIM-00123,REC-0109,Missing telemetry data,High,Device telemetry unavailable for last 6 hours; security health checks degraded.
LIM-00124,REC-0110,Missing telemetry data,High,Device telemetry unavailable for last 6 hours; security health checks degraded.
LIM-00125,REC-0110,Incomplete logs,Medium,Active Directory auth logs delayed; cannot cross-verify session continuity.
LIM-00126,REC-0111,Offline endpoints,Medium,Host is currently unreachable over VPN; cannot run live diagnostics.
LIM-00127,REC-0111,New device models,Low,Model behavior baseline not fully trained; using general device profiles.
LIM-00128,REC-0112,Delayed event ingestion,Medium,SIEM log pipeline experiencing a 15-minute queue latency.
LIM-00129,REC-0113,Sparse threat intelligence,Low,IP address reputation has not been categorized by secondary feeds.
LIM-00130,REC-0114,New device models,Low,Model behavior baseline not fully trained; using general device profiles.
LIM-00131,REC-0115,Limited historical examples,Low,Rare incident type; pattern not seen in the last 180 days.
LIM-00132,REC-0115,New device models,Low,Model behavior baseline not fully trained; using general device profiles.
LIM-00133,REC-0116,Limited historical examples,Low,Rare incident type; pattern not seen in the last 180 days.
LIM-00134,REC-0116,Unknown device states,Medium,Device state unclear due to parallel endpoint configuration changes.
LIM-00135,REC-0118,Incomplete logs,Medium,Active Directory auth logs delayed; cannot cross-verify session continuity.
LIM-00136,REC-0118,Limited historical examples,Low,Rare incident type; pattern not seen in the last 180 days.
LIM-00137,REC-0119,Sparse threat intelligence,Low,IP address reputation has not been categorized by secondary feeds.
LIM-00138,REC-0120,Sparse threat intelligence,Low,IP address reputation has not been categorized by secondary feeds.
LIM-00139,REC-0122,Incomplete logs,Medium,Active Directory auth logs delayed; cannot cross-verify session continuity.
LIM-00140,REC-0123,Incomplete logs,Medium,Active Directory auth logs delayed; cannot cross-verify session continuity.
LIM-00141,REC-0124,Missing telemetry data,High,Device telemetry unavailable for last 6 hours; security health checks degraded.
LIM-00142,REC-0125,Sparse threat intelligence,Low,IP address reputation has not been categorized by secondary feeds.
LIM-00143,REC-0126,Offline endpoints,Medium,Host is currently unreachable over VPN; cannot run live diagnostics.
LIM-00144,REC-0126,Unknown device states,Medium,Device state unclear due to parallel endpoint configuration changes.
LIM-00145,REC-0127,Offline endpoints,Medium,Host is currently unreachable over VPN; cannot run live diagnostics.
LIM-00146,REC-0128,Delayed event ingestion,Medium,SIEM log pipeline experiencing a 15-minute queue latency.
LIM-00147,REC-0130,Missing telemetry data,High,Device telemetry unavailable for last 6 hours; security health checks degraded.
LIM-00148,REC-0131,Limited historical examples,Low,Rare incident type; pattern not seen in the last 180 days.
LIM-00149,REC-0132,Limited historical examples,Low,Rare incident type; pattern not seen in the last 180 days.
LIM-00150,REC-0133,Delayed event ingestion,Medium,SIEM log pipeline experiencing a 15-minute queue latency.
LIM-00151,REC-0134,Delayed event ingestion,Medium,SIEM log pipeline experiencing a 15-minute queue latency.
LIM-00152,REC-0135,Offline endpoints,Medium,Host is currently unreachable over VPN; cannot run live diagnostics.
LIM-00153,REC-0136,New device models,Low,Model behavior baseline not fully trained; using general device profiles.
LIM-00154,REC-0136,Incomplete logs,Medium,Active Directory auth logs delayed; cannot cross-verify session continuity.
LIM-00155,REC-0137,Offline endpoints,Medium,Host is currently unreachable over VPN; cannot run live diagnostics.
LIM-00156,REC-0137,Missing telemetry data,High,Device telemetry unavailable for last 6 hours; security health checks degraded.
LIM-00157,REC-0138,Incomplete logs,Medium,Active Directory auth logs delayed; cannot cross-verify session continuity.
LIM-00158,REC-0138,Limited historical examples,Low,Rare incident type; pattern not seen in the last 180 days.
LIM-00159,REC-0139,Incomplete logs,Medium,Active Directory auth logs delayed; cannot cross-verify session continuity.
LIM-00160,REC-0140,Offline endpoints,Medium,Host is currently unreachable over VPN; cannot run live diagnostics.
LIM-00161,REC-0141,New device models,Low,Model behavior baseline not fully trained; using general device profiles.
LIM-00162,REC-0145,Missing telemetry data,High,Device telemetry unavailable for last 6 hours; security health checks degraded.
LIM-00163,REC-0146,Missing telemetry data,High,Device telemetry unavailable for last 6 hours; security health checks degraded.
LIM-00164,REC-0146,Delayed event ingestion,Medium,SIEM log pipeline experiencing a 15-minute queue latency.
LIM-00165,REC-0147,Offline endpoints,Medium,Host is currently unreachable over VPN; cannot run live diagnostics.
LIM-00166,REC-0148,New device models,Low,Model behavior baseline not fully trained; using general device profiles.
LIM-00167,REC-0149,Incomplete logs,Medium,Active Directory auth logs delayed; cannot cross-verify session continuity.
LIM-00168,REC-0149,Sparse threat intelligence,Low,IP address reputation has not been categorized by secondary feeds.
LIM-00169,REC-0150,Incomplete logs,Medium,Active Directory auth logs delayed; cannot cross-verify session continuity.
LIM-00170,REC-0151,Offline endpoints,Medium,Host is currently unreachable over VPN; cannot run live diagnostics.
LIM-00171,REC-0152,Sparse threat intelligence,Low,IP address reputation has not been categorized by secondary feeds.
LIM-00172,REC-0153,Delayed event ingestion,Medium,SIEM log pipeline experiencing a 15-minute queue latency.
LIM-00173,REC-0153,Unknown device states,Medium,Device state unclear due to parallel endpoint configuration changes.
LIM-00174,REC-0154,Sparse threat intelligence,Low,IP address reputation has not been categorized by secondary feeds.
LIM-00175,REC-0154,Delayed event ingestion,Medium,SIEM log pipeline experiencing a 15-minute queue latency.
LIM-00176,REC-0156,Missing telemetry data,High,Device telemetry unavailable for last 6 hours; security health checks degraded.
LIM-00177,REC-0158,Delayed event ingestion,Medium,SIEM log pipeline experiencing a 15-minute queue latency.
LIM-00178,REC-0158,New device models,Low,Model behavior baseline not fully trained; using general device profiles.
LIM-00179,REC-0159,Unknown device states,Medium,Device state unclear due to parallel endpoint configuration changes.
LIM-00180,REC-0159,Offline endpoints,Medium,Host is currently unreachable over VPN; cannot run live diagnostics.
LIM-00181,REC-0160,Unknown device states,Medium,Device state unclear due to parallel endpoint configuration changes.
LIM-00182,REC-0160,Sparse threat intelligence,Low,IP address reputation has not been categorized by secondary feeds.
LIM-00183,REC-0161,Limited historical examples,Low,Rare incident type; pattern not seen in the last 180 days.
LIM-00184,REC-0162,Limited historical examples,Low,Rare incident type; pattern not seen in the last 180 days.
LIM-00185,REC-0163,Missing telemetry data,High,Device telemetry unavailable for last 6 hours; security health checks degraded.
LIM-00186,REC-0163,Limited historical examples,Low,Rare incident type; pattern not seen in the last 180 days.
LIM-00187,REC-0164,New device models,Low,Model behavior baseline not fully trained; using general device profiles.
LIM-00188,REC-0166,Unknown device states,Medium,Device state unclear due to parallel endpoint configuration changes.
LIM-00189,REC-0166,Delayed event ingestion,Medium,SIEM log pipeline experiencing a 15-minute queue latency.
LIM-00190,REC-0167,Missing telemetry data,High,Device telemetry unavailable for last 6 hours; security health checks degraded.
LIM-00191,REC-0167,Incomplete logs,Medium,Active Directory auth logs delayed; cannot cross-verify session continuity.
LIM-00192,REC-0168,Unknown device states,Medium,Device state unclear due to parallel endpoint configuration changes.
LIM-00193,REC-0168,Delayed event ingestion,Medium,SIEM log pipeline experiencing a 15-minute queue latency.
LIM-00194,REC-0169,Unknown device states,Medium,Device state unclear due to parallel endpoint configuration changes.
LIM-00195,REC-0170,Missing telemetry data,High,Device telemetry unavailable for last 6 hours; security health checks degraded.
LIM-00196,REC-0171,Limited historical examples,Low,Rare incident type; pattern not seen in the last 180 days.
LIM-00197,REC-0174,Unknown device states,Medium,Device state unclear due to parallel endpoint configuration changes.
LIM-00198,REC-0175,Delayed event ingestion,Medium,SIEM log pipeline experiencing a 15-minute queue latency.
LIM-00199,REC-0176,Unknown device states,Medium,Device state unclear due to parallel endpoint configuration changes.
LIM-00200,REC-0176,Limited historical examples,Low,Rare incident type; pattern not seen in the last 180 days.
LIM-00201,REC-0177,Incomplete logs,Medium,Active Directory auth logs delayed; cannot cross-verify session continuity.
LIM-00202,REC-0177,Limited historical examples,Low,Rare incident type; pattern not seen in the last 180 days.
LIM-00203,REC-0178,Sparse threat intelligence,Low,IP address reputation has not been categorized by secondary feeds.
LIM-00204,REC-0179,New device models,Low,Model behavior baseline not fully trained; using general device profiles.
LIM-00205,REC-0179,Delayed event ingestion,Medium,SIEM log pipeline experiencing a 15-minute queue latency.
LIM-00206,REC-0180,Limited historical examples,Low,Rare incident type; pattern not seen in the last 180 days.
LIM-00207,REC-0180,New device models,Low,Model behavior baseline not fully trained; using general device profiles.
LIM-00208,REC-0181,Sparse threat intelligence,Low,IP address reputation has not been categorized by secondary feeds.
LIM-00209,REC-0182,Unknown device states,Medium,Device state unclear due to parallel endpoint configuration changes.
LIM-00210,REC-0182,Limited historical examples,Low,Rare incident type; pattern not seen in the last 180 days.
LIM-00211,REC-0183,Incomplete logs,Medium,Active Directory auth logs delayed; cannot cross-verify session continuity.
LIM-00212,REC-0184,Unknown device states,Medium,Device state unclear due to parallel endpoint configuration changes.
LIM-00213,REC-0185,Delayed event ingestion,Medium,SIEM log pipeline experiencing a 15-minute queue latency.
LIM-00214,REC-0185,Missing telemetry data,High,Device telemetry unavailable for last 6 hours; security health checks degraded.
LIM-00215,REC-0186,Delayed event ingestion,Medium,SIEM log pipeline experiencing a 15-minute queue latency.
LIM-00216,REC-0187,Missing telemetry data,High,Device telemetry unavailable for last 6 hours; security health checks degraded.
LIM-00217,REC-0188,Unknown device states,Medium,Device state unclear due to parallel endpoint configuration changes.
LIM-00218,REC-0188,Missing telemetry data,High,Device telemetry unavailable for last 6 hours; security health checks degraded.
LIM-00219,REC-0189,Limited historical examples,Low,Rare incident type; pattern not seen in the last 180 days.
LIM-00220,REC-0190,Delayed event ingestion,Medium,SIEM log pipeline experiencing a 15-minute queue latency.
LIM-00221,REC-0190,New device models,Low,Model behavior baseline not fully trained; using general device profiles.
LIM-00222,REC-0192,Sparse threat intelligence,Low,IP address reputation has not been categorized by secondary feeds.
LIM-00223,REC-0193,Limited historical examples,Low,Rare incident type; pattern not seen in the last 180 days.
LIM-00224,REC-0193,Missing telemetry data,High,Device telemetry unavailable for last 6 hours; security health checks degraded.
LIM-00225,REC-0194,Delayed event ingestion,Medium,SIEM log pipeline experiencing a 15-minute queue latency.
LIM-00226,REC-0195,New device models,Low,Model behavior baseline not fully trained; using general device profiles.
LIM-00227,REC-0195,Offline endpoints,Medium,Host is currently unreachable over VPN; cannot run live diagnostics.
LIM-00228,REC-0196,New device models,Low,Model behavior baseline not fully trained; using general device profiles.
LIM-00229,REC-0196,Incomplete logs,Medium,Active Directory auth logs delayed; cannot cross-verify session continuity.
LIM-00230,REC-0198,Limited historical examples,Low,Rare incident type; pattern not seen in the last 180 days.
LIM-00231,REC-0199,Sparse threat intelligence,Low,IP address reputation has not been categorized by secondary feeds.
LIM-00232,REC-0200,Offline endpoints,Medium,Host is currently unreachable over VPN; cannot run live diagnostics.
LIM-00233,REC-0201,New device models,Low,Model behavior baseline not fully trained; using general device profiles.
LIM-00234,REC-0201,Delayed event ingestion,Medium,SIEM log pipeline experiencing a 15-minute queue latency.
LIM-00235,REC-0202,Sparse threat intelligence,Low,IP address reputation has not been categorized by secondary feeds.
LIM-00236,REC-0202,Limited historical examples,Low,Rare incident type; pattern not seen in the last 180 days.
LIM-00237,REC-0206,Incomplete logs,Medium,Active Directory auth logs delayed; cannot cross-verify session continuity.
LIM-00238,REC-0206,Missing telemetry data,High,Device telemetry unavailable for last 6 hours; security health checks degraded.
LIM-00239,REC-0207,Limited historical examples,Low,Rare incident type; pattern not seen in the last 180 days.
LIM-00240,REC-0208,Incomplete logs,Medium,Active Directory auth logs delayed; cannot cross-verify session continuity.
LIM-00241,REC-0208,Unknown device states,Medium,Device state unclear due to parallel endpoint configuration changes.
LIM-00242,REC-0209,Offline endpoints,Medium,Host is currently unreachable over VPN; cannot run live diagnostics.
LIM-00243,REC-0210,Offline endpoints,Medium,Host is currently unreachable over VPN; cannot run live diagnostics.
LIM-00244,REC-0210,Missing telemetry data,High,Device telemetry unavailable for last 6 hours; security health checks degraded.
LIM-00245,REC-0211,Unknown device states,Medium,Device state unclear due to parallel endpoint configuration changes.
LIM-00246,REC-0212,New device models,Low,Model behavior baseline not fully trained; using general device profiles.
LIM-00247,REC-0212,Incomplete logs,Medium,Active Directory auth logs delayed; cannot cross-verify session continuity.
LIM-00248,REC-0213,Sparse threat intelligence,Low,IP address reputation has not been categorized by secondary feeds.
LIM-00249,REC-0214,Limited historical examples,Low,Rare incident type; pattern not seen in the last 180 days.
LIM-00250,REC-0215,Offline endpoints,Medium,Host is currently unreachable over VPN; cannot run live diagnostics.
LIM-00251,REC-0215,New device models,Low,Model behavior baseline not fully trained; using general device profiles.
LIM-00252,REC-0216,New device models,Low,Model behavior baseline not fully trained; using general device profiles.
LIM-00253,REC-0216,Unknown device states,Medium,Device state unclear due to parallel endpoint configuration changes.
LIM-00254,REC-0217,Limited historical examples,Low,Rare incident type; pattern not seen in the last 180 days.
LIM-00255,REC-0218,New device models,Low,Model behavior baseline not fully trained; using general device profiles.
LIM-00256,REC-0218,Delayed event ingestion,Medium,SIEM log pipeline experiencing a 15-minute queue latency.
LIM-00257,REC-0220,Offline endpoints,Medium,Host is currently unreachable over VPN; cannot run live diagnostics.
LIM-00258,REC-0221,Unknown device states,Medium,Device state unclear due to parallel endpoint configuration changes.
LIM-00259,REC-0221,Missing telemetry data,High,Device telemetry unavailable for last 6 hours; security health checks degraded.
LIM-00260,REC-0222,Offline endpoints,Medium,Host is currently unreachable over VPN; cannot run live diagnostics.
LIM-00261,REC-0223,Missing telemetry data,High,Device telemetry unavailable for last 6 hours; security health checks degraded.
LIM-00262,REC-0224,Limited historical examples,Low,Rare incident type; pattern not seen in the last 180 days.
LIM-00263,REC-0224,Offline endpoints,Medium,Host is currently unreachable over VPN; cannot run live diagnostics.
LIM-00264,REC-0225,New device models,Low,Model behavior baseline not fully trained; using general device profiles.
LIM-00265,REC-0225,Offline endpoints,Medium,Host is currently unreachable over VPN; cannot run live diagnostics.
LIM-00266,REC-0226,Sparse threat intelligence,Low,IP address reputation has not been categorized by secondary feeds.
LIM-00267,REC-0227,Offline endpoints,Medium,Host is currently unreachable over VPN; cannot run live diagnostics.
LIM-00268,REC-0227,Missing telemetry data,High,Device telemetry unavailable for last 6 hours; security health checks degraded.
LIM-00269,REC-0229,Incomplete logs,Medium,Active Directory auth logs delayed; cannot cross-verify session continuity.
LIM-00270,REC-0231,Sparse threat intelligence,Low,IP address reputation has not been categorized by secondary feeds.
LIM-00271,REC-0233,Delayed event ingestion,Medium,SIEM log pipeline experiencing a 15-minute queue latency.
LIM-00272,REC-0233,Sparse threat intelligence,Low,IP address reputation has not been categorized by secondary feeds.
LIM-00273,REC-0234,Sparse threat intelligence,Low,IP address reputation has not been categorized by secondary feeds.
LIM-00274,REC-0234,Offline endpoints,Medium,Host is currently unreachable over VPN; cannot run live diagnostics.
LIM-00275,REC-0235,Delayed event ingestion,Medium,SIEM log pipeline experiencing a 15-minute queue latency.
LIM-00276,REC-0237,New device models,Low,Model behavior baseline not fully trained; using general device profiles.
LIM-00277,REC-0237,Unknown device states,Medium,Device state unclear due to parallel endpoint configuration changes.
LIM-00278,REC-0238,Missing telemetry data,High,Device telemetry unavailable for last 6 hours; security health checks degraded.
LIM-00279,REC-0239,Missing telemetry data,High,Device telemetry unavailable for last 6 hours; security health checks degraded.
LIM-00280,REC-0240,Sparse threat intelligence,Low,IP address reputation has not been categorized by secondary feeds.
LIM-00281,REC-0247,New device models,Low,Model behavior baseline not fully trained; using general device profiles.
LIM-00282,REC-0248,Offline endpoints,Medium,Host is currently unreachable over VPN; cannot run live diagnostics.
LIM-00283,REC-0249,Missing telemetry data,High,Device telemetry unavailable for last 6 hours; security health checks degraded.
LIM-00284,REC-0249,Delayed event ingestion,Medium,SIEM log pipeline experiencing a 15-minute queue latency.
LIM-00285,REC-0251,Sparse threat intelligence,Low,IP address reputation has not been categorized by secondary feeds.
LIM-00286,REC-0251,Delayed event ingestion,Medium,SIEM log pipeline experiencing a 15-minute queue latency.
LIM-00287,REC-0252,Limited historical examples,Low,Rare incident type; pattern not seen in the last 180 days.
